sample_id,display,source_file,source_word_meaning_id,stem_slp1,constructor,linga,relation,number,expected_citation_slp1,generated_forms_slp1,output_variant_count,matches_expected,generation_status,derivation_paths_json
gamana,"गमनम् (gamanam), going",krdanta_ledger.csv,7a90db603ab51397148f,gamana,basic,Napumsaka,Prathama,Eka,gamanam,gamanam,1,true,locally_regenerated,"[{""form_slp1"": ""gamanam"", ""steps"": [{""rule_source"": ""azwADyAyI"", ""rule"": ""1.2.45"", ""result"": [""gamana""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""4.1.2"", ""result"": [""gamana"", ""su~""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""1.3.2"", ""result"": [""gamana"", ""su~""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""1.3.9"", ""result"": [""gamana"", ""s""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""7.1.24"", ""result"": [""gamana"", ""am""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""1.3.4"", ""result"": [""gamana"", ""am""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""1.4.13"", ""result"": [""gamana"", ""am""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""1.4.18"", ""result"": [""gamana"", ""am""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""1.4.14"", ""result"": [""gamana"", ""am""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""6.1.107"", ""result"": [""gamana"", ""m""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""8.4.68"", ""result"": [""gamana"", ""m""]}]}]"
kartr,"कर्ता (kartā), doer",krdanta_ledger.csv,ebf3acad8cac4eb32dea,kartf,basic,Pum,Prathama,Eka,kartA,kartA,1,true,locally_regenerated,"[{""form_slp1"": ""kartA"", ""steps"": [{""rule_source"": ""azwADyAyI"", ""rule"": ""1.2.45"", ""result"": [""kartf""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""4.1.2"", ""result"": [""kartf"", ""su~""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""1.3.2"", ""result"": [""kartf"", ""su~""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""1.3.9"", ""result"": [""kartf"", ""s""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""1.1.43"", ""result"": [""kartf"", ""s""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""1.1.43"", ""result"": [""kartf"", ""s""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""1.4.13"", ""result"": [""kartf"", ""s""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""7.1.94"", ""result"": [""kartan"", ""s""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""1.4.14"", ""result"": [""kartan"", ""s""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""6.4.8"", ""result"": [""kartAn"", ""s""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""6.1.68"", ""result"": [""kartAn"", """"]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""8.2.7"", ""result"": [""kartA"", """"]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""8.4.68"", ""result"": [""kartA"", """"]}]}]"
mitratva,"मित्रत्वम् (mitratvam), friendship",taddhita_ledger.csv.gz,c4dfd65d6035bf5fd9af,mitratva,basic,Napumsaka,Prathama,Eka,mitratvam,mitratvam,1,true,locally_regenerated,"[{""form_slp1"": ""mitratvam"", ""steps"": [{""rule_source"": ""azwADyAyI"", ""rule"": ""1.2.45"", ""result"": [""mitratva""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""4.1.2"", ""result"": [""mitratva"", ""su~""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""1.3.2"", ""result"": [""mitratva"", ""su~""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""1.3.9"", ""result"": [""mitratva"", ""s""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""7.1.24"", ""result"": [""mitratva"", ""am""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""1.3.4"", ""result"": [""mitratva"", ""am""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""1.4.13"", ""result"": [""mitratva"", ""am""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""1.4.18"", ""result"": [""mitratva"", ""am""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""1.4.14"", ""result"": [""mitratva"", ""am""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""6.1.107"", ""result"": [""mitratva"", ""m""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""8.4.68"", ""result"": [""mitratva"", ""m""]}]}]"
kaunteya,"कौन्तेयः (Kaunteyaḥ), a son or descendant of Kuntī",taddhita_ledger.csv.gz,b829ae0a686f4e53566a,kOnteya,basic,Pum,Prathama,Eka,kOnteyaH,kOnteyaH,1,true,locally_regenerated,"[{""form_slp1"": ""kOnteyaH"", ""steps"": [{""rule_source"": ""azwADyAyI"", ""rule"": ""1.2.45"", ""result"": [""kOnteya""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""4.1.2"", ""result"": [""kOnteya"", ""su~""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""1.3.2"", ""result"": [""kOnteya"", ""su~""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""1.3.9"", ""result"": [""kOnteya"", ""s""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""1.1.73"", ""result"": [""kOnteya"", ""s""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""1.1.43"", ""result"": [""kOnteya"", ""s""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""1.1.73"", ""result"": [""kOnteya"", ""s""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""1.1.43"", ""result"": [""kOnteya"", ""s""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""1.4.13"", ""result"": [""kOnteya"", ""s""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""1.4.14"", ""result"": [""kOnteya"", ""s""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""8.2.66"", ""result"": [""kOnteya"", ""ru~""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""1.3.2"", ""result"": [""kOnteya"", ""r""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""8.3.15"", ""result"": [""kOnteya"", ""H""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""8.3.24"", ""result"": [""kOMteya"", ""H""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""8.4.58"", ""result"": [""kOnteya"", ""H""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""8.4.68"", ""result"": [""kOnteya"", ""H""]}]}]"
kartri,"कर्त्री (kartrī), female doer",stri_generalization_ledger.csv.gz,14e1dfa2790306ebe3bb,kartrI,nyap,Stri,Prathama,Eka,kartrI,kartrI,1,true,locally_regenerated,"[{""form_slp1"": ""kartrI"", ""steps"": [{""rule_source"": ""azwADyAyI"", ""rule"": ""1.2.45"", ""result"": [""kartrI"", """"]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""4.1.2"", ""result"": [""kartrI"", """", ""su~""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""1.3.2"", ""result"": [""kartrI"", """", ""su~""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""1.3.9"", ""result"": [""kartrI"", """", ""s""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""1.4.3"", ""result"": [""kartrI"", """", ""s""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""1.1.43"", ""result"": [""kartrI"", """", ""s""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""1.4.3"", ""result"": [""kartrI"", """", ""s""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""1.1.43"", ""result"": [""kartrI"", """", ""s""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""1.4.13"", ""result"": [""kartrI"", """", ""s""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""1.4.14"", ""result"": [""kartrI"", """", ""s""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""6.1.68"", ""result"": [""kartrI"", """", """"]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""8.4.68"", ""result"": [""kartrI"", """", """"]}]}]"
ajnana,"अज्ञानम् (ajñānam), absence of knowledge",nan_ledger.csv.gz,43acdd0070393388d0f8,ajYAna,basic,Napumsaka,Prathama,Eka,ajYAnam,ajYAnam,1,true,locally_regenerated,"[{""form_slp1"": ""ajYAnam"", ""steps"": [{""rule_source"": ""azwADyAyI"", ""rule"": ""1.2.45"", ""result"": [""ajYAna""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""4.1.2"", ""result"": [""ajYAna"", ""su~""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""1.3.2"", ""result"": [""ajYAna"", ""su~""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""1.3.9"", ""result"": [""ajYAna"", ""s""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""7.1.24"", ""result"": [""ajYAna"", ""am""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""1.3.4"", ""result"": [""ajYAna"", ""am""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""1.4.13"", ""result"": [""ajYAna"", ""am""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""1.4.18"", ""result"": [""ajYAna"", ""am""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""1.4.14"", ""result"": [""ajYAna"", ""am""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""6.1.107"", ""result"": [""ajYAna"", ""m""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""8.4.68"", ""result"": [""ajYAna"", ""m""]}]}]"
mahapurusha,"महापुरुषः (mahāpuruṣaḥ), a great person",samasa_ledger.csv,f2d107d0d66e1f1f,mahApuruza,basic,Pum,Prathama,Eka,mahApuruzaH,mahApuruzaH,1,true,locally_regenerated,"[{""form_slp1"": ""mahApuruzaH"", ""steps"": [{""rule_source"": ""azwADyAyI"", ""rule"": ""1.2.45"", ""result"": [""mahApuruza""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""4.1.2"", ""result"": [""mahApuruza"", ""su~""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""1.3.2"", ""result"": [""mahApuruza"", ""su~""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""1.3.9"", ""result"": [""mahApuruza"", ""s""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""1.1.43"", ""result"": [""mahApuruza"", ""s""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""1.1.43"", ""result"": [""mahApuruza"", ""s""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""1.4.13"", ""result"": [""mahApuruza"", ""s""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""1.4.14"", ""result"": [""mahApuruza"", ""s""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""8.2.66"", ""result"": [""mahApuruza"", ""ru~""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""1.3.2"", ""result"": [""mahApuruza"", ""r""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""8.3.15"", ""result"": [""mahApuruza"", ""H""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""8.4.68"", ""result"": [""mahApuruza"", ""H""]}]}]"
mahapurushatva,"महापुरुषत्वम् (mahāpuruṣatvam), the state of being a great person",compound_stack_ledger.csv,64a320b049c25388fbd0,mahApuruzatva,basic,Napumsaka,Prathama,Eka,mahApuruzatvam,mahApuruzatvam,1,true,locally_regenerated,"[{""form_slp1"": ""mahApuruzatvam"", ""steps"": [{""rule_source"": ""azwADyAyI"", ""rule"": ""1.2.45"", ""result"": [""mahApuruzatva""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""4.1.2"", ""result"": [""mahApuruzatva"", ""su~""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""1.3.2"", ""result"": [""mahApuruzatva"", ""su~""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""1.3.9"", ""result"": [""mahApuruzatva"", ""s""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""7.1.24"", ""result"": [""mahApuruzatva"", ""am""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""1.3.4"", ""result"": [""mahApuruzatva"", ""am""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""1.4.13"", ""result"": [""mahApuruzatva"", ""am""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""1.4.18"", ""result"": [""mahApuruzatva"", ""am""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""1.4.14"", ""result"": [""mahApuruzatva"", ""am""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""6.1.107"", ""result"": [""mahApuruzatva"", ""m""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""8.4.68"", ""result"": [""mahApuruzatva"", ""m""]}]}]"
