root,valency_path_c,total_tokens,distinct_preverbs,distinct_pratyayas
miṣ,5,111,2,3
śrambh,5,110,2,4
dṛp,5,107,2,4
ruṣ,5,103,2,4
upasaṃgrah,5,92,1,5
āśay,5,88,1,5
abhivyañj,5,82,1,5
vyape,5,82,1,5
ṣpiṣ,5,82,1,5
ṣṭap,5,81,1,5
paryūh,5,75,1,5
avokṣ,5,73,1,5
ñc,5,71,1,5
adhyūh,5,70,1,5
unmath,5,69,1,5
prāduṣkṛ,5,65,1,5
pṛtany,5,65,1,5
val,5,64,4,2
ucchvas,5,63,1,5
ṇad,5,60,2,4
unmīl,5,59,1,5
udgṛ,5,57,1,5
upasaṃdhā,5,56,1,5
bharjay,5,53,2,4
lelih,5,52,4,2
uruṣy,5,51,1,5
dhāmay,5,47,2,4
vakṣ,5,47,3,3
dal,5,46,3,3
parisaṃkhyā,5,46,1,5
ścāray,5,46,1,5
nonāv,5,43,2,5
anunirvap,5,42,1,5
jijiñās,5,41,1,5
rej,5,40,1,5
yuyuts,5,39,2,3
day,5,38,1,5
antarbhū,5,36,1,5
nānad,5,36,2,4
prokṣay,5,36,1,5
añcay,5,34,3,3
dhvan,5,34,2,4
upapre,5,32,1,5
raṇ,5,30,1,5
abhyasūy,5,29,1,5
anusaṃtan,5,29,1,5
damay,5,29,1,5
hīḍ,5,29,1,5
nyūṅkhay,5,29,1,5
truṭ,5,29,2,4
hrī,5,28,1,5
parye,5,28,1,5
mith,5,27,3,3
preps,5,26,1,5
abhyunnī,5,25,1,5
utprekṣ,5,24,1,5
viniṣpat,5,23,1,5
chand,5,22,1,5
dhukṣay,5,22,2,4
carkar,5,21,1,5
ninīṣ,5,21,3,3
samupekṣ,5,21,1,5
śāpay,5,21,2,4
abhisaṃśri,5,20,1,5
anupre,5,20,1,5
joṣay,5,20,1,5
veviṣ,5,20,2,4
vyudas,5,20,1,5
anuvīkṣ,5,19,1,5
anve,5,19,1,5
abhinirdiś,5,18,1,5
tejay,5,18,3,3
uccal,5,18,1,5
pravāh,5,17,1,5
samunnī,5,17,1,5
unmāday,5,17,1,5
iṅgay,5,16,3,3
sevay,5,16,4,2
tur,5,16,1,5
choray,5,15,2,4
maday,5,15,1,5
pruṣ,5,15,2,4
samanviṣ,5,15,1,5
uccāṭay,5,15,1,5
uddīp,5,15,1,5
ṣpalāy,5,15,1,5
calay,5,14,3,4
tirobhū,5,14,1,5
vyaṃsay,5,14,1,5
abhisaṃgam,5,13,1,5
abhisaṃpāday,5,13,1,5
anūde,5,13,1,5
avekṣay,5,13,1,5
karikṛ,5,13,3,4
raṇay,5,13,1,5
stabhāy,5,13,1,5
sūrkṣ,5,13,1,5
dhvṛ,5,12,1,5
kṣā,5,12,4,3
sridh,5,12,1,5
āsay,5,12,2,5
ūhay,5,12,4,2
bharts,5,11,3,3
edhay,5,11,2,5
kṝ,5,11,3,3
pūy,5,11,2,4
rap,5,11,1,5
grāsay,5,10,1,5
jas,5,10,2,5
jigāṃs,5,10,3,3
luṇṭh,5,10,3,3
mumukṣ,5,10,2,4
yoyu,5,10,1,5
ḍhauk,5,10,1,5
tarṣay,5,9,4,2
tsar,5,9,2,4
ukṣay,5,9,4,3
vedh,5,9,3,3
vāśay,5,9,2,4
dambhay,5,8,2,5
sampratīkṣ,5,8,1,5
śāsay,5,8,3,3
ḍhaukay,5,8,3,3
ṣkṛt,5,8,1,5
kūlay,5,7,3,3
kṛpay,5,7,1,5
psā,5,7,2,5
ghaṭṭ,5,6,4,4
hrāday,5,6,4,2
manāy,5,6,2,3
ujjīvay,5,6,1,5
vejay,5,6,2,5
akṣ,5,5,2,5
chad,4,368,4,1
unmad,4,278,1,4
samudyam,4,125,1,4
samuddiś,4,116,1,4
unmā,4,109,1,4
abhīps,4,106,1,4
lal,4,102,2,3
samudi,4,101,1,4
kṣudh,4,100,2,3
kvath,4,99,3,2
abhiprekṣ,4,89,1,4
andhay,4,81,1,4
parīps,4,71,1,4
bahiṣkṛ,4,65,1,4
stanay,4,65,1,4
kanikrad,4,61,2,3
paryukṣ,4,61,1,4
avān,4,60,1,4
aṭ,4,60,1,4
udvṛt,4,58,1,4
ṇij,4,57,2,3
udbhram,4,56,1,4
prāv,4,54,1,4
nāth,4,53,2,3
upāś,4,53,1,4
rih,4,50,3,2
rah,4,49,2,2
ullas,4,46,1,4
charday,4,44,1,4
prakaṭay,4,44,1,4
samudīkṣ,4,44,1,4
upasaṃgam,4,41,1,4
viniryā,4,41,1,4
vyatyas,4,41,1,4
upanyas,4,40,1,4
parinirvā,4,39,1,4
udvejay,4,39,1,4
hval,4,38,2,3
inv,4,38,1,4
udvīkṣ,4,38,1,4
srambh,4,37,2,3
nyañc,4,35,1,4
didṛkṣ,4,34,1,4
upasame,4,34,1,4
daśasy,4,33,1,4
udvam,4,32,1,4
cāmay,4,31,1,4
dips,4,31,1,4
abhinirmā,4,30,1,4
samuccāray,4,30,1,4
kvaṇ,4,29,2,3
anuparī,4,28,1,4
jambhay,4,28,1,4
jājval,4,28,1,4
abhīndh,4,27,1,4
dhūmāy,4,27,2,3
iyakṣ,4,27,1,4
jāpay,4,27,2,3
adhīṣ,4,26,1,4
kocay,4,26,1,4
mikṣ,4,26,2,3
mūtray,4,26,1,4
uddīpay,4,24,1,4
vepay,4,24,2,3
dhamay,4,23,2,3
pluṣ,4,23,3,2
sas,4,23,1,4
anuprāṇ,4,22,1,4
paryave,4,22,1,4
ṣṭambhay,4,22,1,4
abhiprāṇ,4,21,1,4
śyā,4,21,2,3
cakās,4,20,1,4
ceṣṭay,4,20,2,3
protsāhay,4,20,1,4
skambh,4,20,1,4
stan,4,20,1,4
aśanāy,4,19,1,4
kṣamāpay,4,19,1,4
śad,4,19,1,4
prer,4,18,1,4
udbhṛ,4,18,1,4
vīray,4,18,2,3
ścut,4,18,4,3
adhyas,4,17,1,4
davidyut,4,17,1,4
nyañj,4,17,1,4
tviṣ,4,17,2,4
udyā,4,17,1,4
upaparīkṣ,4,17,1,4
vipare,4,17,1,4
abhinirhṛ,4,16,1,4
chalay,4,16,1,4
samucci,4,16,1,4
spṛs,4,16,1,4
vinirdah,4,16,1,4
anvabhyave,4,15,1,4
dhe,4,15,1,4
heṭhay,4,15,1,4
tūrv,4,15,2,3
upapreṣ,4,15,1,4
yiyās,4,15,2,3
anulomay,4,14,1,4
cātay,4,14,1,4
irajy,4,14,1,4
lelāy,4,14,1,4
palyay,4,14,2,3
riṣaṇy,4,14,1,4
skabhāy,4,14,1,4
udvā,4,14,1,4
upasaṃnah,4,14,1,4
sagh,4,13,1,4
sūd,4,13,1,4
udaj,4,13,1,4
unnāmay,4,13,1,4
vell,4,13,3,2
śiñj,4,13,2,3
ṣṭubh,4,13,2,4
atyaś,4,12,1,4
dṛṃhay,4,12,1,4
galbh,4,12,2,3
rājay,4,12,2,4
spaṣṭay,4,12,1,4
viprekṣ,4,12,1,4
īṅkhay,4,12,1,4
jarbhur,4,11,3,2
krodhay,4,11,1,4
med,4,11,2,3
muṣāy,4,11,1,4
nas,4,11,2,3
raṃh,4,11,1,4
abhisame,4,10,1,4
abhisaṃyuj,4,10,1,4
jijīviṣ,4,10,2,3
kadarthay,4,10,1,4
khanay,4,10,1,4
kuṇṭhay,4,10,2,4
kās,4,10,1,4
rasay,4,10,1,4
smāpay,4,10,1,4
upasaṃpāday,4,10,1,4
upeps,4,10,1,4
ṇamay,4,10,2,4
apombh,4,9,1,4
chaday,4,9,1,4
dalay,4,9,1,4
paryṛṣ,4,9,1,4
rāpay,4,9,1,4
vivikṣ,4,9,2,3
āday,4,9,1,4
atipāvay,4,8,1,4
dakṣ,4,8,1,4
hāvay,4,8,1,4
kṣoday,4,8,2,3
manasy,4,8,2,4
marmṛś,4,8,2,3
nannam,4,8,1,4
paryās,4,8,1,4
pratisaṃveday,4,8,1,4
samprārthay,4,8,1,4
sukhāy,4,8,1,4
tak,4,8,2,3
tambhay,4,8,1,4
tij,4,8,2,4
vanday,4,8,2,3
abhyudīkṣ,4,7,1,4
apodi,4,7,1,4
dhvanay,4,7,2,4
dṛbh,4,7,4,1
haviṣkṛ,4,7,1,4
jighats,4,7,1,4
kuṣ,4,7,3,2
kṣad,4,7,1,4
parisaṃsthāpay,4,7,1,4
praśnay,4,7,2,3
uduṣ,4,7,1,4
vevid,4,7,2,3
adhyeṣay,4,6,1,4
anusaṃsthā,4,6,1,4
anusaṃyā,4,6,1,4
atyas,4,6,1,4
kṛntay,4,6,3,3
kṣveḍay,4,6,2,4
priyāy,4,6,2,3
ubh,4,6,2,3
cchanday,4,5,3,4
didās,4,5,1,4
dolay,4,5,2,3
ghāṭay,4,5,3,3
glāpay,4,5,2,3
kū,4,5,2,3
kṣāpay,4,5,3,3
lajjay,4,5,2,3
upāj,4,5,1,4
anusaṃvraj,4,4,1,4
indhay,4,4,2,3
krūḍay,4,4,1,4
prapañcay,4,4,1,4
samunmūlay,4,4,1,4
vyavekṣ,4,4,1,4
saṃpreṣ,3,336,1,3
samprekṣ,3,203,1,3
ī,3,193,2,2
uddhū,3,145,1,3
darpay,3,119,2,2
upaniṣkram,3,113,1,3
klam,3,92,2,2
ūrjay,3,90,1,3
abhīṣ,3,82,1,3
samabhyarcay,3,82,1,3
udyuj,3,80,1,3
udric,3,70,1,3
śośuc,3,68,1,3
abhinirvṛt,3,64,1,3
dvaṃdvay,3,54,1,3
vinirbhid,3,54,1,3
vinirji,3,54,1,3
samabhye,3,53,1,3
tapasy,3,53,1,3
cchṛd,3,51,1,3
prāviṣkṛ,3,49,1,3
samatī,3,49,1,3
arātīy,3,42,1,3
samabhyas,3,40,1,3
yavay,3,39,1,3
patay,3,35,1,3
roro,3,35,1,3
spṛh,3,35,2,3
jighṛkṣay,3,34,1,3
unmiṣ,3,34,1,3
eray,3,31,1,3
gṛbhāy,3,29,2,2
samunnam,3,29,1,3
hras,3,28,1,3
paty,3,28,1,3
prasaṃkhyā,3,27,1,3
utkaṇṭh,3,27,1,3
āmay,3,27,1,3
unnad,3,25,1,3
pratiparī,3,24,1,3
śṛdh,3,23,1,3
abhiparī,3,22,1,3
samuttāray,3,22,1,3
vīḍay,3,22,1,3
styai,3,20,2,2
uddyotay,3,20,1,3
udgranth,3,20,1,3
ujjval,3,20,1,3
aghāy,3,19,2,2
mukharay,3,19,1,3
ṣkas,3,19,1,3
glapay,3,18,1,3
pallavay,3,18,1,3
pipās,3,18,1,3
preṅkh,3,18,1,3
vanuṣy,3,18,1,3
anupreṣay,3,17,1,3
dhan,3,17,2,3
kṣviḍ,3,17,1,3
samuccar,3,17,1,3
samudvij,3,17,1,3
abhyatī,3,16,1,3
samprakās,3,16,1,3
unnah,3,16,1,3
upoh,3,16,1,3
chṛd,3,15,1,3
khāday,3,15,1,3
rerih,3,15,2,3
atyṛj,3,14,1,3
ilay,3,14,1,3
samunmṛj,3,14,1,3
udbandh,3,14,1,3
vinirdhū,3,14,1,3
abhyucchri,3,13,1,3
antargā,3,13,1,3
badbadh,3,13,2,2
guñj,3,13,1,3
myakṣ,3,13,1,3
projh,3,13,1,3
stakṣ,3,13,1,3
tuś,3,13,2,2
ujjhā,3,13,1,3
abhiniṣpad,3,12,1,3
apyas,3,12,1,3
camay,3,12,1,3
ccho,3,12,1,3
dakṣay,3,12,1,3
dodhu,3,12,2,2
marcay,3,12,1,3
ṣac,3,12,1,3
abhisaṃci,3,11,1,3
inakṣ,3,11,1,3
jihās,3,11,1,3
kīlay,3,11,2,3
pratyudyam,3,11,1,3
samullas,3,11,1,3
upanirhṛ,3,11,1,3
upoṣ,3,11,1,3
vinirvṛt,3,11,1,3
yup,3,11,1,3
śamāy,3,11,1,3
anūdi,3,10,1,3
anūjji,3,10,1,3
at,3,10,2,2
citrīy,3,10,2,3
dālay,3,10,2,3
kṣṇu,3,10,2,2
nyāsay,3,10,1,3
turaṇy,3,10,1,3
vrādh,3,10,1,3
ṣpā,3,10,1,3
andhray,3,9,1,3
antardhāpay,3,9,1,3
draḍhay,3,9,1,3
eṣ,3,9,1,3
glah,3,9,1,3
panay,3,9,1,3
pratisaṃmoday,3,9,1,3
pruṣāy,3,9,2,3
prāj,3,9,1,3
roday,3,9,1,3
tartar,3,9,2,2
ucchvāsay,3,9,1,3
uddharṣay,3,9,1,3
upaghrāpay,3,9,1,3
vyavān,3,9,1,3
śim,3,9,1,3
ṣpū,3,9,1,3
abhisaṃjñā,3,8,1,3
apaplāvay,3,8,1,3
carkṛṣ,3,8,1,3
citray,3,8,2,2
cyut,3,8,1,3
durasy,3,8,1,3
gāhay,3,8,1,3
pravī,3,8,1,3
pī,3,8,2,2
sampre,3,8,1,3
sarsṛ,3,8,2,2
uddhā,3,8,1,3
uddhāray,3,8,1,3
valay,3,8,1,3
vanīvāh,3,8,1,3
vyuccar,3,8,1,3
vīṣ,3,8,1,3
anūcchri,3,7,1,3
apacikramiṣ,3,7,1,3
bharibhṛ,3,7,2,2
bibhits,3,7,1,3
chā,3,7,1,3
iṣaṇy,3,7,1,3
jañjabh,3,7,2,2
kāsay,3,7,3,3
liś,3,7,1,3
manday,3,7,1,3
mandāy,3,7,1,3
ned,3,7,2,2
nenīy,3,7,2,2
nikṣ,3,7,3,3
niṃs,3,7,1,3
nyṛṣ,3,7,1,3
prārc,3,7,1,3
riñc,3,7,1,3
rurukṣ,3,7,1,3
ucchoṣay,3,7,1,3
udāp,3,7,1,3
upasaṃtan,3,7,1,3
viniścar,3,7,1,3
abhiprokṣ,3,6,1,3
abhiprāp,3,6,1,3
abhisaṃkram,3,6,1,3
abhyutpūray,3,6,1,3
anusaṃsmṛ,3,6,1,3
bharay,3,6,2,2
jyotay,3,6,2,3
lāsay,3,6,2,2
mlāpay,3,6,2,3
naṭ,3,6,1,3
nejay,3,6,1,3
ninday,3,6,1,3
pavitray,3,6,1,3
pratisaṃgrah,3,6,1,3
rahay,3,6,2,3
rup,3,6,1,3
samullikh,3,6,1,3
sedhay,3,6,1,3
sphūrjay,3,6,2,2
tamay,3,6,1,3
udīṣ,3,6,1,3
unmocay,3,6,1,3
upapare,3,6,1,3
upasaṃsṛj,3,6,1,3
vaśay,3,6,1,3
vyucchid,3,6,1,3
yoyup,3,6,1,3
ārdray,3,6,1,3
śruṣ,3,6,1,3
śulkay,3,6,1,3
ṛtīy,3,6,1,3
abhyapān,3,5,1,3
anuprekṣ,3,5,1,3
avadhīray,3,5,1,3
bhiṣaj,3,5,1,3
bubhuts,3,5,1,3
cakṣay,3,5,2,3
caraṇy,3,5,2,2
cikīṣ,3,5,2,2
dhīps,3,5,1,3
gaveṣ,3,5,2,2
hvāyay,3,5,2,2
iñjay,3,5,1,3
kal,3,5,3,3
kṛpāy,3,5,2,3
mathāy,3,5,1,3
mīv,3,5,2,3
nirakṣ,3,5,1,3
prekṣay,3,5,1,3
rapś,3,5,1,3
rejay,3,5,1,3
sampratī,3,5,1,3
spāśay,3,5,1,3
surabhay,3,5,1,3
tirobhāvay,3,5,1,3
trikoṭay,3,5,1,3
tu,3,5,1,3
uddhvaṃs,3,5,1,3
udgāh,3,5,1,3
udvad,3,5,1,3
udve,3,5,1,3
udveṣṭ,3,5,1,3
upode,3,5,1,3
vighnay,3,5,1,3
vātay,3,5,2,3
āvirbhāvay,3,5,1,3
īrṣy,3,5,2,2
ś,3,5,1,3
śubhay,3,5,1,3
abhinirgam,3,4,1,3
anukūlay,3,4,1,3
barbṛh,3,4,2,2
dehay,3,4,2,3
dhanay,3,4,1,3
dhav,3,4,2,3
dhūlay,3,4,2,2
dudhūrṣ,3,4,1,3
hlād,3,4,2,2
irasy,3,4,1,3
jabh,3,4,1,3
jalpay,3,4,1,3
kelāy,3,4,1,3
lālap,3,4,2,2
mamāy,3,4,1,3
nidrāy,3,4,1,3
preṅkhay,3,4,1,3
proccāray,3,4,1,3
proddhṛ,3,4,1,3
protay,3,4,2,3
samabhyave,3,4,1,3
samadhī,3,4,1,3
samucchvas,3,4,1,3
samudgrah,3,4,1,3
samunmajj,3,4,1,3
skhalay,3,4,1,3
spanday,3,4,1,3
sphuṭay,3,4,1,3
sīkṣ,3,4,1,3
tantray,3,4,1,3
unmṛś,3,4,1,3
upasaṃśri,3,4,1,3
uḍḍīy,3,4,1,3
vat,3,4,1,3
vinirhan,3,4,1,3
visaṃvad,3,4,1,3
yakṣ,3,4,2,3
ārogyay,3,4,1,3
śnathay,3,4,1,3
śrambhay,3,4,2,2
śravay,3,4,1,3
ṣevay,3,4,1,3
abhinirvap,3,3,1,3
abhiniṣpat,3,3,1,3
abhyuddru,3,3,1,3
abhyutkramay,3,3,1,3
anusaṃkram,3,3,1,3
apāj,3,3,1,3
bhur,3,3,1,3
ccheday,3,3,2,3
damāy,3,3,1,3
gandhay,3,3,2,2
ganīgam,3,3,2,2
garjay,3,3,1,3
gātuy,3,3,1,3
hūrch,3,3,3,2
jighṛkṣ,3,3,2,2
juhūṣ,3,3,2,2
larday,3,3,1,3
narday,3,3,2,2
nāṭay,3,3,1,3
palyaṅy,3,3,1,3
parikarmay,3,3,1,3
paryudas,3,3,1,3
pipatiṣ,3,3,1,3
pratimīv,3,3,1,3
pratisaṃdiś,3,3,1,3
pratyudīkṣ,3,3,1,3
pratyupe,3,3,1,3
raṃhay,3,3,1,3
reṣay,3,3,1,3
riś,3,3,2,3
rāraj,3,3,2,2
rāvay,3,3,2,3
samparī,3,3,1,3
samunmīl,3,3,1,3
srevay,3,3,1,3
subh,3,3,1,3
takṣay,3,3,2,3
taray,3,3,3,3
udgrāhay,3,3,1,3
udvraj,3,3,1,3
unmanāy,3,3,1,3
unmṛd,3,3,1,3
upodgrah,3,3,1,3
upāvekṣ,3,3,1,3
vivats,3,3,2,2
yuyukṣ,3,3,3,1
śriṣ,3,3,2,2
śyetīkṛ,3,3,1,3
ḍamb,3,3,1,3
vinirmuc,2,229,1,2
viniści,2,92,1,2
vrīḍ,2,84,1,2
samanuprāp,2,79,1,2
bubhukṣ,2,73,1,2
abhisaṃvṛ,2,71,1,2
samucchri,2,66,1,2
kalkay,2,62,1,2
abhisaṃtap,2,55,1,2
jvaray,2,49,1,2
tandray,2,45,1,2
nabh,2,42,2,1
samprokṣ,2,38,1,2
abhisaṃviś,2,36,1,2
didhakṣ,2,35,1,2
pṛtanāy,2,33,1,2
samudgam,2,28,1,2
samuddhū,2,27,1,2
ṛtāy,2,27,1,2
mumūrṣ,2,26,1,2
saṃprokṣay,2,25,1,2
cañc,2,23,1,2
dhavalay,2,23,1,2
lālapy,2,23,1,2
uḍḍī,2,23,1,2
ṣkvāthay,2,23,1,2
dolāy,2,22,1,2
śatrūy,2,22,1,2
anvañj,2,21,1,2
cekit,2,21,1,2
dhyāyay,2,21,1,2
rpay,2,21,1,2
parīkṣay,2,20,1,2
pratibimb,2,20,1,2
udghuṣ,2,20,1,2
parisaṃvah,2,19,1,2
prativīkṣ,2,19,1,2
anusaṃsṛp,2,18,1,2
lohitāy,2,18,1,2
rorūy,2,18,1,2
anusamprāp,2,17,1,2
bhasmay,2,17,1,2
saṃnirmā,2,17,1,2
vi,2,17,1,2
al,2,16,1,2
jarhṛṣ,2,16,1,2
ullāsay,2,16,1,2
upāñj,2,16,1,2
viniṣpiṣ,2,16,1,2
dodhūy,2,15,1,2
iṅg,2,15,1,2
iṣudhy,2,15,1,2
pratisaṃsṛj,2,13,1,2
āvay,2,13,1,2
śravasy,2,13,1,2
anūnnī,2,12,1,2
cirāy,2,12,1,2
pulakay,2,12,1,2
ucci,2,12,1,2
ullup,2,12,1,2
viparī,2,12,1,2
anūddru,2,11,1,2
cat,2,11,1,2
dedīpy,2,11,1,2
j￞,2,11,1,2
pravinyas,2,11,1,2
stud,2,11,1,2
udvepay,2,11,1,2
vamay,2,11,1,2
varey,2,11,1,2
vivits,2,11,1,2
śithilay,2,11,1,2
abhisaṃrabh,2,10,1,2
kaṇḍay,2,10,1,2
prādhī,2,10,1,2
samutkruś,2,10,1,2
tarj,2,10,2,2
upasaṃprāp,2,10,1,2
upātī,2,10,1,2
śabdāy,2,10,1,2
ṇed,2,10,1,2
abhinirji,2,9,1,2
adhvarīy,2,9,1,2
bhuraṇy,2,9,1,2
cañcūry,2,9,1,2
endh,2,9,1,2
nigaḍay,2,9,1,2
uñch,2,9,1,2
vinirhṛ,2,9,1,2
abhyude,2,8,1,2
avās,2,8,1,2
cimicimāy,2,8,1,2
dhraj,2,8,1,2
luj,2,8,2,1
mithyākṛ,2,8,1,2
muṇḍay,2,8,1,2
pratisaṃrabh,2,8,1,2
prārpay,2,8,1,2
prāyaścittīy,2,8,1,2
samutkliś,2,8,1,2
udbhās,2,8,1,2
udvyadh,2,8,1,2
utsarj,2,8,1,2
varivasy,2,8,1,2
vālay,2,8,1,2
vṛṣaṇy,2,8,1,2
ṇenij,2,8,2,1
ṛghāy,2,8,1,2
abhisaṃvas,2,7,1,2
abhivyāp,2,7,1,2
aperay,2,7,1,2
apyṛj,2,7,1,2
bruḍ,2,7,1,2
khel,2,7,1,2
mūtr,2,7,1,2
nidrā,2,7,1,2
paryavekṣ,2,7,1,2
pratisaṃlī,2,7,1,2
pratisaṃmud,2,7,1,2
pyai,2,7,1,2
taṃs,2,7,2,2
tustūrṣ,2,7,1,2
upaprekṣ,2,7,1,2
upokṣ,2,7,1,2
vyuddhṛ,2,7,1,2
śramay,2,7,1,2
ṣkhid,2,7,1,2
abhisamprāp,2,6,1,2
abhisaṃtan,2,6,1,2
anuvī,2,6,1,2
anūpe,2,6,1,2
dāsay,2,6,1,2
jeh,2,6,2,1
kavalay,2,6,1,2
kaṇṭhay,2,6,1,2
kumbhay,2,6,1,2
malinay,2,6,1,2
mreḍay,2,6,1,2
pariniści,2,6,1,2
paryam,2,6,1,2
pratyave,2,6,1,2
retay,2,6,1,2
samabhī,2,6,1,2
siñcay,2,6,1,2
tetij,2,6,1,2
udveṣṭay,2,6,1,2
ullih,2,6,1,2
unmiśray,2,6,1,2
upāve,2,6,1,2
ār,2,6,1,2
ṛjūy,2,6,1,2
abhisaṃbhṛ,2,5,1,2
abhisaṃgrah,2,5,1,2
adhyupekṣ,2,5,1,2
anuprāpay,2,5,1,2
anūtsṛj,2,5,1,2
araṇy,2,5,1,2
bhand,2,5,1,2
ccharday,2,5,1,2
daray,2,5,1,2
dhanāy,2,5,1,2
didhyās,2,5,1,2
ihīrṣ,2,5,1,2
jargur,2,5,2,2
jijyās,2,5,1,2
jijyūṣ,2,5,1,2
kaluṣay,2,5,1,2
ketay,2,5,1,2
kūrd,2,5,2,2
mokṣ,2,5,2,2
niravahan,2,5,1,2
niḥśī,2,5,1,2
nāvay,2,5,1,2
pratyucchri,2,5,1,2
pratyuddīp,2,5,1,2
prollas,2,5,1,2
samudghāṭay,2,5,1,2
saṃpare,2,5,1,2
saṃpreray,2,5,1,2
sku,2,5,2,2
taviṣy,2,5,1,2
udvṛh,2,5,1,2
unmudray,2,5,1,2
upasaṃvye,2,5,1,2
vipalyaṅgay,2,5,1,2
vipre,2,5,1,2
viṣṭ,2,5,2,1
vyapās,2,5,1,2
ṇoday,2,5,1,2
ṣkramay,2,5,1,2
abhinyubj,2,4,1,2
abhisaṃnam,2,4,1,2
anusaṃhṛ,2,4,1,2
ativālay,2,4,1,2
bhan,2,4,1,2
bhañjay,2,4,1,2
bhreṣ,2,4,1,2
bhrājay,2,4,2,1
caṭ,2,4,2,1
chidray,2,4,1,2
dandah,2,4,1,2
dhandhāy,2,4,1,2
dhīkṣ,2,4,1,2
granthay,2,4,1,2
hrepay,2,4,1,2
kalahay,2,4,1,2
likhāpay,2,4,1,2
līlāy,2,4,1,2
meday,2,4,2,1
nabhay,2,4,1,2
paryañj,2,4,1,2
paryaś,2,4,1,2
paryeṣay,2,4,1,2
phālay,2,4,2,2
pipīṣ,2,4,1,2
poplūy,2,4,1,2
pratinirvap,2,4,1,2
pratipare,2,4,1,2
pratisaṃkhyā,2,4,1,2
rī,2,4,1,2
samude,2,4,1,2
samutkṛ,2,4,1,2
stenay,2,4,1,2
svapasy,2,4,1,2
sīvay,2,4,1,2
taralay,2,4,1,2
titṛps,2,4,1,2
udubj,2,4,1,2
upaniḥsṛp,2,4,1,2
vasay,2,4,2,2
vācālay,2,4,1,2
ākulay,2,4,1,2
āmahīy,2,4,1,2
ṣṭyai,2,4,1,2
abhijvalay,2,3,1,2
abhiniras,2,3,1,2
abhyupekṣ,2,3,1,2
adhihan,2,3,1,2
anuniṣkram,2,3,1,2
anvarj,2,3,1,2
anvavān,2,3,1,2
anvāp,2,3,1,2
anūtkram,2,3,1,2
arth,2,3,1,2
atikṛ,2,3,1,2
atikṣāray,2,3,1,2
avakarṇay,2,3,1,2
avarohay,2,3,1,2
aśiśiṣ,2,3,1,2
bharv,2,3,1,2
chup,2,3,1,2
cicīṣ,2,3,2,1
ciray,2,3,2,1
coṣkūy,2,3,1,2
cumbay,2,3,1,2
dasyusādbhū,2,3,1,2
dhūmay,2,3,1,2
dudukṣ,2,3,1,2
ghar,2,3,1,2
ghūrṇay,2,3,1,2
golay,2,3,1,2
hvānay,2,3,1,2
hās,2,3,1,2
jaṅgah,2,3,2,1
joguv,2,3,1,2
jāsay,2,3,2,2
kandalay,2,3,1,2
kaṇ,2,3,1,2
kaṭakaṭāyay,2,3,1,2
kothay,2,3,1,2
krīḍāpay,2,3,1,2
makhasy,2,3,1,2
maṃhay,2,3,1,2
memy,2,3,2,1
mūlay,2,3,2,2
naday,2,3,1,2
nibhālay,2,3,1,2
nonud,2,3,1,2
nyund,2,3,1,2
nīrājay,2,3,1,2
pariniṣpad,2,3,1,2
parinyas,2,3,1,2
parisaṃcakṣ,2,3,1,2
paryanviṣ,2,3,1,2
paṇāy,2,3,1,2
pepīy,2,3,1,2
phāṇay,2,3,1,2
pramāṇay,2,3,1,2
pratiniryā,2,3,1,2
pratisaṃyat,2,3,1,2
pratyujjīv,2,3,1,2
pratyādhāv,2,3,1,2
pronmīlay,2,3,1,2
rip,2,3,1,2
samanvīkṣ,2,3,1,2
samudyā,2,3,1,2
samunmath,2,3,1,2
saraṇy,2,3,1,2
sarj,2,3,1,2
saṃnirvap,2,3,1,2
saṃprāśay,2,3,1,2
spāray,2,3,1,2
stigh,2,3,1,2
svādhyāy,2,3,1,2
tand,2,3,1,2
turay,2,3,1,2
uccheday,2,3,1,2
udbādh,2,3,1,2
uddhvaṃsay,2,3,1,2
uddih,2,3,1,2
udghṛṣ,2,3,1,2
ujjvalay,2,3,1,2
ullambay,2,3,1,2
unmajjay,2,3,1,2
unmārjay,2,3,1,2
upamīmāṃs,2,3,1,2
upaniṣkramay,2,3,1,2
upasaṃveśay,2,3,1,2
upasaṃviś,2,3,1,2
upasaṃśaṃs,2,3,1,2
utsukay,2,3,2,2
valh,2,3,2,2
vasūy,2,3,1,2
vevij,2,3,1,2
viparyūh,2,3,1,2
vividiṣ,2,3,1,2
viśaday,2,3,1,2
vānay,2,3,1,2
vāvāś,2,3,1,2
yuyūṣ,2,3,1,2
śardhay,2,3,2,2
śiśayiṣ,2,3,2,1
śyānay,2,3,1,2
ṇāyay,2,3,2,2
abhinirmi,2,2,1,2
abhinirīkṣ,2,2,1,2
abhinyas,2,2,1,2
abhipratī,2,2,1,2
abhipreṣ,2,2,1,2
abhisaṃcar,2,2,1,2
abhisaṃmīl,2,2,1,2
abhisaṃnah,2,2,1,2
abhisaṃyam,2,2,1,2
abhisaṃśliṣ,2,2,1,2
abhivyañjay,2,2,1,2
abhyatyūh,2,2,1,2
abhyudīray,2,2,1,2
abhyujjīv,2,2,1,2
abhīkṣ,2,2,1,2
adhisaṃdhā,2,2,1,2
adhyāsay,2,2,1,2
ahaṃkṛ,2,2,1,2
anuparilikh,2,2,1,2
anuparind,2,2,1,2
anupariplu,2,2,1,2
