root,valency_path_c,total_tokens,distinct_preverbs,distinct_pratyayas
śram,31,778,11,12
lepay,31,692,12,7
ṛch,31,612,6,15
majj,31,589,13,10
dhṛṣ,31,260,10,12
śuṣ,31,240,10,11
mocay,31,208,8,10
marday,30,1971,11,10
ruc,30,659,9,13
tras,30,524,8,10
bhraṃś,30,520,8,10
nṛt,30,432,12,10
ṣidh,30,305,6,13
śliṣ,30,278,9,9
ṣañj,30,264,10,12
arthay,30,219,5,13
kampay,30,214,10,9
vadh,29,1307,9,18
gad,29,765,9,13
arpay,29,716,3,12
arc,29,638,4,14
nāśay,29,634,6,13
tāḍay,29,500,7,15
kṣar,29,283,10,9
yātay,29,162,6,14
khyāpay,29,116,9,8
mṛ,28,2665,8,17
ās,28,2061,4,15
prī,28,1847,6,16
bhañj,28,875,10,12
cūrṇay,28,759,10,9
rud,28,739,6,15
vand,28,704,8,14
śāmay,28,501,10,9
kāśay,28,347,6,12
skand,28,313,8,10
dhvaṃs,28,288,16,8
vraśc,28,211,7,11
tuṣ,27,1104,8,11
su,27,939,7,14
mud,27,845,6,10
hi,27,666,8,13
sphur,27,471,6,11
dih,27,351,11,9
dāray,27,350,8,11
toṣay,27,331,6,11
nāday,27,311,12,7
grāhay,27,233,6,12
bhās,27,190,11,7
pāray,27,158,6,12
ghuṣ,27,112,14,12
kathay,26,3507,6,12
krudh,26,2250,7,13
naś,26,2022,4,15
kāmay,26,1071,7,12
nad,26,705,7,7
smi,26,620,8,11
dūṣay,26,405,7,11
śikṣ,26,378,4,13
vye,26,299,11,10
jvālay,26,272,9,11
krand,26,225,7,12
ṇud,26,194,9,12
tud,26,159,10,9
kālay,26,90,7,12
ghoṣay,26,89,8,11
bhakṣay,25,1456,5,13
jṛ,25,1441,6,14
tṛp,25,751,7,13
nind,25,701,5,15
kup,25,698,7,11
drāvay,25,409,6,11
stambh,25,367,6,10
rañjay,25,359,8,10
deśay,25,346,8,12
ceṣṭ,25,291,10,10
mī,25,222,3,14
khid,25,218,7,10
loḍay,25,171,8,8
bhāsay,25,148,8,8
tarkay,25,139,8,10
rohay,25,119,8,9
krāmay,25,62,9,11
śak,24,1961,7,17
dīp,24,1480,9,9
hiṃs,24,816,5,13
paṭh,24,609,6,14
do,24,584,10,7
śap,24,515,8,12
yodhay,24,298,7,11
kṣubh,24,290,6,9
rūpay,24,223,6,12
muṣ,24,196,8,13
dharṣay,24,173,7,9
jīvay,24,172,4,12
veṣṭ,24,92,13,9
chid,23,2203,3,17
snā,23,1683,6,11
ṇam,23,1136,8,9
duṣ,23,954,10,7
daṃś,23,369,7,13
mārjay,23,255,10,7
kṣobhay,23,196,4,13
rodhay,23,170,8,7
āpay,23,97,5,11
kramay,23,87,11,6
karṣay,23,82,10,6
svap,22,1326,6,14
kṣālay,22,623,6,10
pācay,22,537,6,9
thāpay,22,286,4,13
sraṃs,22,252,6,11
ghṛṣ,22,217,10,6
ve,22,214,9,9
mṛṣ,22,165,6,11
dīv,22,161,5,13
bhartsay,22,110,4,10
nanday,22,83,6,10
dhvaṃsay,22,60,4,9
vī,21,774,5,12
pāyay,21,403,6,12
ukṣ,21,395,7,7
vam,21,245,7,9
sāntvay,21,223,5,10
mokṣay,21,182,6,10
vic,21,178,7,10
jalp,21,160,8,9
mīlay,21,137,7,7
cyāvay,21,130,5,9
kūj,21,128,11,8
mih,21,110,8,10
māpay,21,86,5,10
bhūṣ,21,69,6,8
śudh,20,3171,5,9
dviṣ,20,1414,6,9
vācay,20,620,6,12
trā,20,520,3,13
kliś,20,326,6,9
garh,20,310,4,10
recay,20,207,5,10
vip,20,206,7,8
yāpay,20,155,4,11
druh,20,114,3,11
dyotay,20,99,7,9
moday,20,99,7,5
śātay,20,73,7,9
īray,19,662,5,10
gup,19,636,9,8
ṣṭhāpay,19,582,6,10
gras,19,525,6,14
puṣ,19,452,6,14
ghāray,19,434,5,8
vyath,19,426,4,12
pyā,19,386,3,13
racay,19,340,4,8
riṣ,19,302,4,13
ṣṭu,19,201,7,9
nard,19,150,8,6
ru,19,134,6,9
tam,19,123,8,9
sphoṭay,19,91,6,9
ṣṭhīv,19,73,8,7
dīkṣ,18,879,6,10
tvar,18,577,5,9
yājay,18,437,2,11
ṇaś,18,331,5,12
bhrāj,18,301,5,10
gal,18,292,10,7
miśray,18,290,6,6
garj,18,223,8,7
cikīrṣ,18,218,9,9
trāsay,18,201,5,9
takṣ,18,175,6,10
jṛmbh,18,171,6,7
stambhay,18,162,3,9
dhūpay,18,157,9,8
laṅghay,18,153,4,9
ghaṭ,18,134,6,12
sūcay,18,132,5,12
cikits,18,131,3,13
mārg,18,110,4,9
cāy,18,96,3,9
cṛt,18,69,8,8
ghaṭay,18,57,4,9
juṣ,17,1236,6,12
ad,17,703,2,16
śobhay,17,569,7,9
bhojay,17,526,4,12
kṣam,17,442,3,14
ṣev,17,399,5,11
sveday,17,389,6,7
māray,17,385,5,13
chāday,17,371,2,11
ṣvaj,17,359,3,13
jāgṛ,17,346,5,11
kāś,17,327,7,8
van,17,230,4,16
ṣecay,17,215,5,10
śeṣay,17,195,6,9
kalay,17,189,4,9
vij,17,146,8,7
nāyay,17,145,4,10
kopay,17,141,5,10
und,17,103,4,9
bheday,17,101,4,11
pothay,17,95,8,6
viṣ,17,93,4,14
namay,17,79,6,6
sarpay,17,39,12,6
prāp,16,6022,1,16
iṣ,16,4844,2,15
upe,16,2226,2,13
bhūṣay,16,924,5,9
av,16,869,3,14
arday,16,591,5,10
pyāyay,16,357,4,11
peṣay,16,323,7,5
cit,16,274,5,12
granth,16,178,5,6
bhakṣ,16,173,4,13
palāy,16,163,5,11
ramay,16,154,4,9
ghaṭṭay,16,107,6,5
hnu,16,95,5,8
lips,16,88,6,8
spand,16,73,6,7
sparśay,16,72,4,8
an,16,35,5,7
bhī,15,1387,3,12
śrī,15,655,6,9
śubh,15,557,6,10
sarjay,15,284,5,10
snāpay,15,201,4,10
san,15,197,2,14
gālay,15,177,7,7
spṛ,15,166,4,11
bandhay,15,143,6,10
dyut,15,129,5,8
prathay,15,115,3,11
jigīṣ,15,85,6,6
majjay,15,78,2,9
das,15,76,4,7
hāpay,15,71,4,8
valg,15,63,7,6
smāray,15,57,4,8
svar,15,56,5,7
dhāvay,15,49,6,7
gur,15,48,5,8
mīl,15,48,5,7
vlī,15,31,3,12
