root,preverb,pratyaya_class,count
vac,,fin:Past+Ind+Act,16084
as,,fin:Pres+Ind+Act,15743
bhū,,fin:Pres+Ind+Act,14098
kṛ,,nfin:Part,10456
as,,fin:Pres+Opt+Act,9505
ah,,fin:Past+Ind+Act,9447
vac,,nfin:Part,9284
gam,,nfin:Part,7389
bhū,,fin:Pres+Opt+Act,6763
kṛ,,nfin:Conv,6034
brū,,fin:Impf+Ind+Act,5669
kṛ,,fin:Pres+Ind+Act,5451
dṛś,,nfin:Conv,5363
sthā,,nfin:Part,4797
kṛ,,fin:Pres+Opt+Act,4591
bhū,,fin:Past+Ind+Act,4377
jan,,nfin:Part,4285
yuj,,nfin:Part,4239
śru,,nfin:Conv,3963
vid,,fin:Past+Ind+Act,3808
bhū,,fin:Impf+Ind+Act,3769
kṛ,,nfin:Gdv,3576
bhū,,fin:Fut+Ind+Act,3520
as,,nfin:Part,3487
han,,nfin:Part,3457
smṛ,,nfin:Part,3303
yaj,,nfin:Part,3244
dṛś,,nfin:Part,3234
kṛ,,fin:Past+Ind+Act,3199
as,,fin:Impf+Ind+Act,3032
as,,fin:Pres+Imp+Act,3028
vac,,fin:Pres+Ind+Pass,2996
jan,,fin:Pres+Ind+Act,2898
prāp,pra,nfin:Part,2840
bhū,,nfin:Part,2645
hu,,fin:Pres+Ind+Act,2640
gam,ā,nfin:Part,2463
gam,,fin:Past+Ind+Act,2457
vac,,nfin:Conv,2372
arh,,fin:Pres+Ind+Act,2280
yā,,fin:Pres+Ind+Act,2162
iṣ,,fin:Pres+Ind+Act,2153
kṛ,,fin:Pres+Imp+Act,2094
dā,,fin:Pres+Opt+Act,2077
śru,,fin:Pres+Imp+Act,2062
vid,,nfin:Part,2043
dā,,nfin:Part,2039
dṛś,,fin:Past+Ind+Act,2015
gam,,nfin:Conv,1948
vac,pra,nfin:Part,1932
bhū,,fin:Pres+Imp+Act,1906
dā,,nfin:Conv,1834
mṛ,,nfin:Part,1815
dā,ā,nfin:Conv,1790
śudh,,nfin:Part,1790
dhā,,fin:Pres+Ind+Act,1768
gam,,fin:Pres+Ind+Act,1767
i,,fin:Pres+Ind+Act,1750
śru,,nfin:Part,1660
man,,fin:Pres+Ind+Act,1653
pā,,fin:Pres+Imp+Act,1575
iṣ,,nfin:Part,1554
sidh,,nfin:Part,1553
bhū,,nfin:Conv,1538
krudh,,nfin:Part,1529
ji,,nfin:Part,1517
man,,nfin:Part,1502
pat,,nfin:Part,1492
vac,,fin:Fut+Ind+Act,1481
hā,,nfin:Part,1452
sthā,,fin:Pres+Ind+Act,1450
grah,,fin:Pres+Ind+Act,1439
yā,,fin:Past+Ind+Act,1438
dā,,fin:Pres+Ind+Act,1434
jñā,,nfin:Gdv,1427
bandh,,nfin:Part,1420
han,,fin:Pres+Ind+Act,1388
paś,,fin:Impf+Ind+Act,1385
yaj,,fin:Pres+Ind+Act,1363
muc,,nfin:Part,1360
kathay,,nfin:Part,1340
grah,,nfin:Conv,1330
grah,,nfin:Part,1320
dā,,nfin:Gdv,1319
prāp,pra,nfin:Conv,1315
gam,,fin:Pres+Imp+Act,1290
kṛ,,fin:Fut+Ind+Act,1257
car,,fin:Pres+Ind+Act,1249
pṛ,,nfin:Part,1248
han,ni,nfin:Part,1246
pā,,fin:Pres+Opt+Act,1235
pac,,fin:Pres+Opt+Act,1225
vad,,fin:Pres+Ind+Act,1222
prāh,pra,fin:Past+Ind+Act,1220
paś,,fin:Pres+Ind+Act,1189
dṛś,,fin:Pres+Ind+Pass,1188
yuj,sam,nfin:Part,1186
prī,,nfin:Part,1176
vid,,fin:Pres+Ind+Pass,1156
dā,,fin:Past+Ind+Act,1152
vid,,fin:Pres+Opt+Act,1135
paś,,fin:Pres+Imp+Act,1132
brū,,fin:Pres+Opt+Act,1124
hu,,fin:Pres+Opt+Act,1122
dah,,nfin:Part,1118
brū,,fin:Pres+Imp+Act,1106
jan,,fin:Past+Ind+Act,1104
vad,,nfin:Part,1101
jṛ,,nfin:Part,1085
pūjay,,nfin:Part,1085
vṛt,,nfin:Part,1085
pū,,nfin:Part,1079
vṛ,,nfin:Part,1078
jñā,,fin:Pres+Ind+Act,1073
dīp,,nfin:Part,1062
hu,,nfin:Part,1056
āp,,fin:Pres+Ind+Act,1055
pracch,,nfin:Part,1054
dṛś,,fin:Pres+Ind+Act,1052
bhid,,nfin:Part,1010
kāray,,fin:Pres+Opt+Act,998
tap,,nfin:Part,996
jñā,,nfin:Conv,995
pad,sam,nfin:Part,994
vid,,fin:Pres+Ind+Act,988
marday,,fin:Pres+Opt+Act,980
kṛ,,fin:Impf+Ind+Act,979
hṛṣ,,nfin:Part,974
car,,nfin:Part,969
kathay,,fin:Pres+Ind+Act,942
gam,,fin:Pres+Opt+Act,934
dhā,vi,nfin:Part,927
sāday,ā,nfin:Conv,927
han,,nfin:Conv,926
hṛ,,nfin:Part,921
dhā,,fin:Pres+Imp+Act,920
brū,,fin:Pres+Ind+Act,919
kṛ,,nfin:Inf,906
śam,,nfin:Part,906
ṣṭhā,prati,nfin:Part,902
snā,,nfin:Conv,901
vṛt,,fin:Pres+Ind+Act,889
upe,upa,nfin:Part,880
labh,,nfin:Part,877
viś,pra,nfin:Part,872
muh,,nfin:Part,864
pā,,nfin:Part,861
labh,,fin:Pres+Ind+Act,856
hu,,nfin:Conv,853
sthā,,fin:Past+Ind+Act,843
kṣi,,nfin:Part,842
han,,fin:Past+Ind+Act,836
ram,,nfin:Part,834
dā,,fin:Pres+Imp+Act,833
kṛ,,fin:Pres+Ind+Pass,814
vṛ,ā,nfin:Part,811
bhī,,nfin:Part,800
chid,,nfin:Part,796
grah,,fin:Past+Ind+Act,786
kṣip,,fin:Pres+Opt+Act,785
aś,,fin:Pres+Ind+Act,765
vṛt,pra,nfin:Part,761
jñā,,nfin:Part,760
sṛj,,nfin:Part,759
ās,,nfin:Part,757
juṣ,,nfin:Part,754
car,,fin:Pres+Opt+Act,738
yam,ni,nfin:Part,738
sthā,,fin:Pres+Imp+Act,736
vas,,nfin:Part,736
stu,,nfin:Part,733
gam,,fin:Fut+Ind+Act,732
upe,upa,fin:Pres+Ind+Act,732
udi,ut,nfin:Part,729
yam,pra,fin:Pres+Ind+Act,728
yā,,fin:Pres+Imp+Act,726
yā,,nfin:Part,725
bhuj,,nfin:Part,724
svap,,nfin:Part,723
naś,,nfin:Part,721
su,,nfin:Part,708
duṣ,,nfin:Part,706
mad,,nfin:Part,702
varjay,,nfin:Part,702
ās,,fin:Pres+Ind+Act,700
sthā,sam,nfin:Part,699
grah,,nfin:Gdv,694
tyaj,,nfin:Conv,691
e,ā,fin:Pres+Imp+Act,684
jñā,vi,nfin:Gdv,683
hṛ,,fin:Pres+Ind+Act,682
dhṛ,,nfin:Part,679
śri,ā,nfin:Part,679
dru,,nfin:Part,673
vid,,fin:Pres+Imp+Act,664
jīv,,fin:Pres+Ind+Act,662
vṛt,pra,fin:Pres+Ind+Act,659
gam,ā,fin:Past+Ind+Act,657
yaj,,fin:Pres+Opt+Act,656
vac,,nfin:Gdv,653
khyā,,nfin:Part,650
pad,ut,nfin:Part,650
sad,pra,nfin:Part,650
pūjay,,fin:Pres+Opt+Act,644
kṣip,,nfin:Conv,643
sthā,upa,fin:Pres+Ind+Act,630
jval,,nfin:Part,629
dṛś,,nfin:Inf,628
jap,,fin:Pres+Opt+Act,628
rudh,ava,fin:Pres+Ind+Act,625
bhāvay,,nfin:Part,623
sev,,nfin:Part,623
tuṣ,,nfin:Part,623
pīḍay,,nfin:Part,621
i,,fin:Pres+Imp+Act,618
jīv,,nfin:Part,618
prāp,pra,fin:Pres+Ind+Act,618
han,,fin:Pres+Imp+Act,614
ji,,fin:Pres+Ind+Act,614
vac,,nfin:Inf,613
vṛdh,,nfin:Part,608
bhṛ,,nfin:Part,605
brū,,nfin:Part,605
sṛj,,fin:Impf+Ind+Act,604
upās,upa,fin:Pres+Ind+Act,600
dviṣ,,nfin:Part,596
vac,pra,fin:Fut+Ind+Act,596
gam,ā,nfin:Conv,595
yam,ā,nfin:Part,595
śru,vi,nfin:Part,595
pat,,fin:Past+Ind+Act,591
sthā,ā,nfin:Conv,591
samprāp,sampra,nfin:Part,582
vah,,fin:Pres+Ind+Act,580
dhā,ā,fin:Pres+Ind+Act,578
bhañj,,nfin:Part,577
vyadh,,fin:Past+Ind+Act,576
rakṣ,,nfin:Part,574
udyam,ut,nfin:Part,574
viś,pra,nfin:Conv,574
hvā,,fin:Pres+Ind+Act,570
khyā,vyā,nfin:Part,567
kṛ,vi,nfin:Part,565
thā,ut,nfin:Part,564
atī,ati,nfin:Part,562
vad,,fin:Pres+Imp+Act,559
sthā,vyava,nfin:Part,558
śak,,nfin:Part,553
dviṣ,,fin:Pres+Ind+Act,552
vas,,fin:Pres+Ind+Act,551
yojay,,fin:Pres+Opt+Act,546
dhā,,nfin:Part,545
rudh,,nfin:Conv,545
sthā,ava,nfin:Part,545
śā,ni,nfin:Part,545
sthā,ā,nfin:Part,544
krudh,sam,nfin:Part,542
pad,upa,nfin:Part,541
pracch,,fin:Past+Ind+Act,541
cyu,,nfin:Part,536
bandh,,nfin:Conv,534
dhā,ni,nfin:Conv,534
vap,niḥ,fin:Pres+Opt+Act,534
han,,fin:Pres+Opt+Act,531
jan,pra,fin:Pres+Ind+Act,531
muc,,fin:Pres+Ind+Pass,530
bhāṣ,,fin:Impf+Ind+Act,528
pū,,fin:Pres+Ind+Act,528
bhṛ,,fin:Pres+Ind+Act,527
dham,,nfin:Part,527
pracch,,fin:Pres+Ind+Act,527
kīrtay,pra,nfin:Part,526
śrī,,nfin:Part,526
varjay,vi,nfin:Part,525
viś,,fin:Past+Ind+Act,525
śaṃs,,fin:Pres+Ind+Act,523
budh,ni,fin:Pres+Imp+Act,522
śru,,nfin:Inf,522
khyā,vyā,fin:Fut+Ind+Act,518
vraj,,fin:Pres+Opt+Act,518
dīkṣ,,nfin:Part,517
dṛś,,nfin:Gdv,517
car,ā,fin:Pres+Opt+Act,515
alaṃkṛ,alam,nfin:Part,509
vṛ,sam,nfin:Part,507
dhā,upa,fin:Pres+Ind+Act,506
ṇam,pra,nfin:Conv,506
chid,,fin:Past+Ind+Act,505
dā,ā,fin:Pres+Ind+Act,500
kṣip,,nfin:Part,500
thā,ut,nfin:Conv,500
gā,,fin:Past+Ind+Act,499
muc,vi,nfin:Part,499
stu,,fin:Pres+Ind+Act,498
as,,fin:Past+Ind+Act,497
kīrtay,,nfin:Part,495
tyaj,,nfin:Part,495
śudh,vi,nfin:Part,494
vac,pra,fin:Past+Ind+Act,493
ṛdh,sam,nfin:Part,490
sādhay,,nfin:Gdv,489
darśay,,nfin:Part,488
pat,,fin:Pres+Ind+Act,488
bhūṣay,,nfin:Part,487
vṛt,ni,nfin:Part,486
snā,,nfin:Part,485
śru,,fin:Past+Ind+Act,485
ṣṭhā,prati,fin:Pres+Ind+Act,485
sāday,,fin:Pres+Ind+Act,483
bhuj,,fin:Pres+Ind+Act,478
yā,ā,nfin:Part,478
dhāray,,fin:Pres+Opt+Act,477
piṣ,,nfin:Conv,477
dṛś,,fin:Fut+Ind+Act,475
vac,prati,fin:Past+Ind+Act,474
cintay,,nfin:Part,471
tvar,,nfin:Part,469
pū,,fin:Pres+Imp+Act,468
sāday,samā,nfin:Conv,468
sṛj,,fin:Past+Ind+Act,468
yuj,pra,nfin:Part,467
bhāvay,,fin:Pres+Opt+Act,466
tarpay,,fin:Pres+Ind+Act,465
pad,ā,nfin:Part,464
dā,pra,fin:Past+Ind+Act,462
dhā,,fin:Past+Ind+Act,460
jap,,fin:Pres+Ind+Act,460
mṛ,,fin:Pres+Ind+Pass,460
ji,,fin:Pres+Opt+Act,459
vid,,nfin:Gdv,457
śā,,nfin:Part,456
pūjay,,nfin:Gdv,455
hṛ,,fin:Pres+Opt+Act,454
mā,niḥ,nfin:Part,454
piṣ,,nfin:Part,454
labh,,fin:Pres+Opt+Act,453
sthā,upa,nfin:Part,451
paś,,fin:Pres+Opt+Act,450
paś,,nfin:Part,449
yā,pra,fin:Past+Ind+Act,449
śiṣ,vi,nfin:Part,449
arday,,nfin:Part,448
pā,,fin:Pres+Ind+Act,448
rakṣ,,fin:Pres+Imp+Act,448
śaṃs,pra,nfin:Part,447
jīv,,fin:Pres+Opt+Act,445
vid,,nfin:Conv,445
sū,pra,nfin:Part,444
dhā,abhi,nfin:Part,442
viś,pra,fin:Past+Ind+Act,442
vṛ,pari,nfin:Part,442
nī,,nfin:Part,441
śī,,fin:Pres+Ind+Act,441
grah,,fin:Pres+Opt+Act,440
as,,fin:Pres+Sub+Act,439
pā,,nfin:Conv,436
janay,,fin:Pres+Ind+Act,433
hṛṣ,pra,nfin:Part,432
nind,,nfin:Part,432
kāmay,,fin:Pres+Opt+Act,431
sidh,pra,nfin:Part,430
bhū,,fin:Past+Jus+Act,429
yuj,,nfin:Gdv,427
vadh,,nfin:Gdv,426
bhakṣay,,fin:Pres+Opt+Act,424
bhū,,fin:Past+Prec+Act,424
mā,sam,nfin:Part,424
khyā,vi,nfin:Part,423
śru,,fin:Pres+Ind+Act,422
sṛj,ut,nfin:Conv,421
gup,,nfin:Part,420
jñā,vi,nfin:Part,420
dhā,vi,fin:Pres+Ind+Pass,419
viś,ā,nfin:Part,419
gam,samā,nfin:Part,418
bhā,,fin:Pres+Ind+Act,417
varjay,,fin:Pres+Opt+Act,417
tyaj,,fin:Pres+Opt+Act,416
vyadh,,nfin:Part,415
coday,,nfin:Part,413
mṛd,,nfin:Gdv,413
yaj,,fin:Pres+Imp+Act,412
rabh,ā,nfin:Part,411
khyā,ā,nfin:Part,410
bhāṣ,,nfin:Part,408
cakṣ,ā,fin:Pres+Ind+Act,406
kīrtay,pari,nfin:Part,406
muc,,fin:Pres+Ind+Act,405
bhū,sam,nfin:Part,404
car,,fin:Past+Ind+Act,403
stṛ,vi,nfin:Part,402
aś,,fin:Pres+Opt+Act,400
dham,,fin:Pres+Opt+Act,400
śaṃs,,nfin:Part,400
śāmay,ni,nfin:Conv,399
īray,,nfin:Part,398
śru,,fin:Pres+Ind+Pass,398
śī,,nfin:Part,398
nī,,fin:Pres+Ind+Act,397
bhūṣay,vi,nfin:Part,396
av,,fin:Pres+Imp+Act,395
gā,,fin:Pres+Ind+Act,395
yā,ā,fin:Pres+Ind+Act,394
man,sam,nfin:Part,393
vṛdh,,fin:Pres+Ind+Act,393
vah,,fin:Pres+Imp+Act,392
labh,,nfin:Conv,391
rudh,vi,nfin:Part,391
āp,,fin:Pres+Opt+Act,391
dhā,ni,nfin:Part,385
ruh,ā,nfin:Part,385
yudh,,nfin:Part,384
muc,,fin:Pres+Imp+Act,383
uddhṛ,ut,nfin:Conv,383
bhuj,,nfin:Conv,382
car,samā,fin:Pres+Opt+Act,382
dhā,ni,fin:Pres+Ind+Act,382
sañj,,nfin:Part,381
gam,anu,nfin:Part,380
gam,vi,nfin:Part,380
mā,pra,nfin:Gdv,379
hṛ,udā,nfin:Part,378
iṣ,,fin:Pres+Ind+Pass,377
i,,nfin:Part,374
kalpay,,nfin:Part,374
vad,,fin:Pres+Opt+Act,372
kup,,nfin:Part,371
kṛ,,fin:Past+Jus+Act,371
kathay,,fin:Pres+Ind+Pass,369
yam,,fin:Pres+Imp+Act,369
prī,,fin:Pres+Ind+Act,367
sidh,,fin:Pres+Ind+Act,367
yā,,fin:Fut+Ind+Act,367
jan,,fin:Impf+Ind+Act,366
jāray,,fin:Pres+Opt+Act,366
yaj,,nfin:Conv,365
bhakṣay,,fin:Pres+Ind+Act,363
bhū,,nfin:Gdv,362
janay,,nfin:Part,362
mohay,,nfin:Part,361
yuj,,fin:Pres+Ind+Act,361
gam,,nfin:Inf,360
jñā,vi,nfin:Conv,360
dā,ā,nfin:Part,359
bhakṣay,,nfin:Part,358
dā,,fin:Fut+Ind+Act,358
lip,,nfin:Part,358
grah,,fin:Pres+Imp+Act,357
mā,,nfin:Part,357
pat,ā,nfin:Part,357
man,,fin:Past+Ind+Act,356
tṛp,,nfin:Part,356
vah,,nfin:Part,355
naś,,fin:Pres+Ind+Act,353
yāc,,nfin:Part,353
antardhā,antaḥ,nfin:Part,352
tap,,fin:Pres+Ind+Act,352
cakṣ,ā,fin:Impf+Ind+Act,350
e,ā,nfin:Conv,349
vap,niḥ,fin:Pres+Ind+Act,349
gam,,nfin:Gdv,348
hā,,nfin:Conv,348
vṛ,,fin:Pres+Ind+Act,348
rud,,nfin:Part,347
pad,pra,fin:Pres+Ind+Act,346
kṛ,saṃs,nfin:Part,345
muc,,fin:Past+Ind+Act,345
viś,upa,nfin:Part,345
yam,pra,nfin:Part,345
pad,ut,fin:Pres+Ind+Act,344
spṛś,,nfin:Part,344
avāp,ava,fin:Pres+Ind+Act,342
yuj,samā,nfin:Part,341
añj,,nfin:Part,340
dhā,ā,nfin:Part,340
guh,,nfin:Part,338
han,,nfin:Inf,338
anvah,anu,fin:Past+Ind+Act,337
kṛ,,fin:Pres+Imp+Pass,336
bhū,sam,fin:Pres+Ind+Act,335
dhyā,,nfin:Part,335
śram,,nfin:Part,335
ji,,nfin:Conv,334
nyas,ni,nfin:Part,334
ṣṭhā,adhi,nfin:Part,333
gā,,nfin:Part,332
pad,prati,fin:Pres+Ind+Act,331
yuj,,fin:Pres+Ind+Pass,331
bhuj,,nfin:Gdv,330
dam,,nfin:Part,330
sthāpay,,fin:Pres+Opt+Act,330
mūrchay,,nfin:Part,329
yā,pra,nfin:Part,329
śudh,,fin:Pres+Ind+Act,329
ji,,fin:Pres+Imp+Act,328
ji,niḥ,nfin:Part,328
han,ni,fin:Pres+Ind+Act,326
vad,,fin:Impf+Ind+Act,326
ardhay,sam,fin:Pres+Ind+Act,325
kṛ,,fin:Past+Imp+Act,322
vas,,fin:Pres+Opt+Act,322
śak,,fin:Past+Ind+Act,322
śri,ā,nfin:Conv,322
dhā,vi,nfin:Conv,321
gad,,fin:Past+Ind+Act,321
han,abhi,nfin:Part,321
han,upa,nfin:Part,321
hiṃs,,fin:Past+Jus+Act,321
iṣ,,fin:Pres+Opt+Act,321
lepay,,fin:Pres+Opt+Act,321
tap,sam,nfin:Part,321
indh,sam,nfin:Part,320
avāp,ava,fin:Pres+Opt+Act,319
dhāray,,nfin:Part,319
dhāv,,nfin:Part,319
labh,ā,fin:Pres+Opt+Act,319
mantray,anu,fin:Pres+Ind+Act,319
ruh,ā,nfin:Conv,319
chid,,nfin:Conv,318
marday,,nfin:Part,318
labh,,fin:Past+Ind+Act,316
pṛ,sam,nfin:Part,316
yat,,nfin:Part,316
lubh,,nfin:Part,315
spṛś,upa,nfin:Conv,315
sādhay,,nfin:Part,315
bhuj,,fin:Pres+Opt+Act,314
bhū,sam,fin:Impf+Ind+Act,314
anuprāp,anupra,nfin:Part,312
sthā,pra,nfin:Part,312
diś,niḥ,nfin:Part,310
hvā,upa,nfin:Part,309
smi,vi,nfin:Part,309
gam,,fin:Impf+Ind+Act,308
pātay,,nfin:Part,308
vāday,abhi,nfin:Conv,308
vadh,,nfin:Part,307
hṛ,udā,fin:Pres+Ind+Act,306
man,,nfin:Conv,306
mud,,nfin:Part,306
sṛj,ut,nfin:Part,306
vraj,,fin:Pres+Ind+Act,306
bhaj,,fin:Pres+Ind+Act,305
prāp,pra,fin:Fut+Ind+Act,304
hṛ,ā,nfin:Part,303
hṛ,ā,fin:Pres+Opt+Act,302
sthā,,fin:Pres+Opt+Act,302
sthāpay,,nfin:Part,302
uddhṛ,ut,nfin:Part,302
āp,,nfin:Part,302
ṇam,pra,nfin:Part,302
jñā,vi,fin:Pres+Ind+Pass,301
brū,anu,fin:Pres+Imp+Act,300
tyaj,pari,nfin:Conv,300
han,ā,nfin:Part,299
rakṣ,,fin:Pres+Ind+Act,299
śās,,nfin:Part,299
juṣ,,fin:Pres+Imp+Act,298
ṣad,ni,nfin:Part,298
has,pra,nfin:Part,297
sṛj,vi,nfin:Part,297
bhram,,nfin:Part,295
dhāray,,fin:Pres+Ind+Act,295
nyas,ni,fin:Pres+Opt+Act,295
bhid,,nfin:Conv,294
bhā,,fin:Past+Ind+Act,294
gam,sam,nfin:Part,294
dāpay,,fin:Pres+Opt+Act,293
lokay,ā,nfin:Conv,293
sad,,fin:Pres+Imp+Act,293
saṃpreṣ,saṃpra,fin:Pres+Ind+Act,293
arcay,,nfin:Part,292
vī,vi,nfin:Part,292
same,samā,nfin:Conv,291
bhṛ,,fin:Pres+Imp+Act,290
kṛ,puras,nfin:Conv,290
kṛ,ā,nfin:Part,289
ram,,fin:Pres+Ind+Act,289
svid,,nfin:Part,289
pad,sam,fin:Pres+Ind+Act,288
pat,ni,nfin:Part,288
brū,,fin:Past+Ind+Act,287
pūjay,,nfin:Conv,287
pūjay,sam,nfin:Conv,287
śobhay,,nfin:Part,287
bhojay,,fin:Pres+Opt+Act,286
jan,sam,nfin:Part,286
nī,ā,nfin:Conv,286
śaṃs,,fin:Pres+Ind+Pass,286
adhī,adhi,nfin:Part,285
kṣip,ni,fin:Pres+Opt+Act,285
pre,pra,nfin:Conv,285
yā,pra,fin:Pres+Ind+Act,285
viś,pra,fin:Pres+Ind+Act,284
vīkṣ,vi,nfin:Conv,284
bhraṃś,,nfin:Part,283
mahīy,,fin:Pres+Ind+Act,283
same,samā,nfin:Part,283
nī,,fin:Pres+Imp+Act,282
śak,,fin:Pres+Ind+Act,282
han,,fin:Fut+Ind+Act,281
budh,,nfin:Conv,280
ric,ati,nfin:Part,280
tan,vi,nfin:Part,280
īpsay,,nfin:Part,280
pad,samut,nfin:Part,279
stu,,fin:Past+Ind+Act,279
unnam,ut,nfin:Part,279
ci,,nfin:Part,278
jñā,anu,nfin:Part,278
labh,ā,fin:Pres+Ind+Act,278
pracch,,fin:Impf+Ind+Act,278
ruc,,fin:Pres+Ind+Act,278
śru,,fin:Pres+Imp+Pass,278
sah,ut,fin:Pres+Ind+Act,277
dā,,nfin:Inf,276
nam,,nfin:Part,276
sthā,,nfin:Conv,276
mantray,ā,nfin:Conv,275
śuc,,fin:Pres+Ind+Act,275
dā,upā,nfin:Conv,274
grah,,fin:Pres+Ind+Pass,274
dhā,ā,nfin:Conv,273
jap,,nfin:Part,272
car,ā,nfin:Part,271
gam,upā,nfin:Part,271
kṣan,,nfin:Part,271
bhāṣ,,fin:Pres+Ind+Act,270
chad,,nfin:Part,270
lih,,fin:Pres+Opt+Act,270
īkṣ,sam,nfin:Conv,270
han,ni,nfin:Conv,269
pat,ni,fin:Past+Ind+Act,269
sthā,,fin:Impf+Ind+Act,269
śaṃs,pra,fin:Pres+Ind+Pass,269
pad,upa,fin:Pres+Ind+Act,268
veday,ni,fin:Impf+Ind+Act,268
dah,,fin:Pres+Ind+Act,267
gam,niḥ,nfin:Part,266
unmad,ut,nfin:Part,266
muc,,nfin:Conv,265
viś,pra,fin:Impf+Ind+Act,265
vṛdh,,fin:Past+Ind+Act,265
smṛ,,fin:Pres+Ind+Act,264
upe,upa,nfin:Conv,264
hā,vi,nfin:Part,262
kram,ati,nfin:Conv,262
arpay,,nfin:Part,261
rabh,sam,nfin:Part,261
bhū,abhi,nfin:Part,260
dhyā,,nfin:Conv,260
sic,,nfin:Part,260
tan,,nfin:Part,259
cal,,nfin:Part,258
grah,prati,nfin:Conv,258
nī,vi,nfin:Part,258
yam,,nfin:Part,258
prāp,pra,fin:Past+Ind+Act,257
sṛj,sam,nfin:Part,257
kāmay,,fin:Pres+Ind+Act,256
cūrṇay,,nfin:Part,255
gam,,fin:Past+Imp+Act,255
gras,,nfin:Part,255
kṣālay,pra,nfin:Conv,255
sṛj,,fin:Pres+Ind+Act,255
dhā,abhi,fin:Pres+Ind+Pass,253
kṣip,,fin:Past+Ind+Act,253
gam,ā,fin:Pres+Ind+Act,252
ram,ni,nfin:Part,252
sphur,,nfin:Part,252
ucchri,ut,nfin:Part,252
ści,niḥ,nfin:Part,252
ṣṭhāpay,prati,fin:Pres+Ind+Act,252
prekṣ,pra,nfin:Conv,251
vṛt,ni,fin:Pres+Ind+Act,251
śak,,fin:Pres+Ind+Pass,251
kṣip,vini,fin:Pres+Opt+Act,250
abhye,abhyā,nfin:Conv,249
kathay,,fin:Pres+Imp+Act,249
bhṛ,sam,nfin:Part,248
diś,upa,nfin:Part,248
dhā,sam,nfin:Part,247
grah,pra,nfin:Conv,247
hiṃs,,fin:Pres+Ind+Act,247
parī,pari,nfin:Part,247
majj,,nfin:Part,246
jīv,,nfin:Inf,245
khyā,samā,nfin:Part,245
krīḍ,,nfin:Part,245
labh,upa,fin:Pres+Ind+Pass,245
pātay,ni,nfin:Part,245
ad,,fin:Pres+Ind+Act,244
duh,,fin:Pres+Ind+Act,244
muc,niḥ,nfin:Part,244
dā,samā,nfin:Conv,243
grah,prati,fin:Pres+Ind+Act,243
hā,vi,nfin:Conv,242
ṇī,pra,nfin:Part,242
ṛch,,fin:Pres+Ind+Act,242
has,,nfin:Part,240
puṭ,,fin:Pres+Opt+Act,240
arcay,,fin:Pres+Opt+Act,239
dhṛ,,fin:Past+Ind+Act,239
yojay,pra,fin:Pres+Opt+Act,239
kṛ,vaṣaṭ,nfin:Part,238
pāyay,,fin:Pres+Opt+Act,238
ṣic,abhi,nfin:Part,238
prāp,pra,fin:Pres+Opt+Act,237
śam,pra,nfin:Part,237
jap,,nfin:Conv,236
sad,,fin:Pres+Ind+Act,236
avekṣ,ava,nfin:Conv,235
bhṛ,sam,fin:Pres+Ind+Act,235
pat,,fin:Impf+Ind+Act,235
pūray,,nfin:Part,235
yuj,pra,nfin:Gdv,235
sad,pra,fin:Pres+Imp+Act,234
śamay,,fin:Pres+Ind+Act,234
bhāvay,,nfin:Gdv,233
dhā,,fin:Impf+Ind+Act,233
nī,ā,nfin:Part,233
sthāpay,,nfin:Conv,233
uddiś,ut,nfin:Conv,233
vyath,,nfin:Part,232
darśay,,fin:Pres+Ind+Act,231
mantray,abhi,fin:Pres+Ind+Act,231
kṛ,namas,nfin:Conv,230
muc,pra,fin:Pres+Ind+Pass,230
śobhay,upa,nfin:Part,230
bhram,sam,nfin:Part,229
hṛ,,fin:Past+Ind+Act,229
naś,vi,fin:Pres+Ind+Act,229
pat,praṇi,nfin:Conv,229
bhaj,,fin:Pres+Opt+Act,228
dah,,fin:Pres+Opt+Act,228
uddiś,ut,nfin:Part,228
vinirmuc,viniḥ,nfin:Part,228
i,,fin:Fut+Ind+Act,227
sādhay,,fin:Pres+Opt+Act,227
dāś,,nfin:Part,226
gam,adhi,fin:Pres+Ind+Act,226
hṛ,apa,nfin:Part,226
kṛ,sat,nfin:Part,226
vyadh,,nfin:Conv,226
āp,vi,nfin:Part,226
aś,,nfin:Part,225
cintay,,fin:Impf+Ind+Act,225
prokṣ,pra,fin:Pres+Ind+Act,224
thā,ut,fin:Pres+Imp+Act,224
pre,pra,nfin:Part,223
śiṣ,ava,nfin:Part,223
śri,,nfin:Part,223
avāp,ava,fin:Past+Ind+Act,222
duh,,nfin:Part,222
jñā,vi,fin:Pres+Ind+Act,222
samuddhṛ,samut,nfin:Conv,222
tṛ,ava,nfin:Part,222
ṣev,ni,nfin:Part,222
ji,vi,nfin:Part,221
tṛ,,fin:Pres+Ind+Act,221
yuj,ni,nfin:Part,221
mṛś,abhi,fin:Pres+Ind+Act,220
pālay,,nfin:Part,220
sev,,nfin:Gdv,220
tras,,nfin:Part,220
vāray,,nfin:Part,220
dā,,fin:Pres+Ind+Pass,219
jinv,,fin:Pres+Imp+Act,219
kram,ati,nfin:Part,219
naś,vi,nfin:Part,219
nī,,fin:Pres+Opt+Act,219
daṃś,,nfin:Part,218
hṛ,ā,nfin:Conv,218
dhā,vi,nfin:Gdv,217
sṛj,vi,nfin:Conv,217
vācay,,fin:Pres+Ind+Act,217
