root,valency,tokens,tier
pinv,6,182,Bivalent
guṇay,6,160,Bivalent
mṛḍ,6,131,Bivalent
abhyudi,6,121,Bivalent
vinirdiś,6,118,Bivalent
ṣpad,6,115,Bivalent
dās,6,99,Bivalent
ullikh,6,96,Bivalent
prāśay,6,95,Bivalent
uccar,6,95,Bivalent
prās,6,94,Bivalent
jū,6,88,Bivalent
ej,6,85,Bivalent
vinirgam,6,76,Bivalent
samupe,6,73,Bivalent
pratyudgam,6,72,Bivalent
anvīkṣ,6,71,Bivalent
pratye,6,71,Bivalent
mṛḍay,6,67,Bivalent
pratīṣ,6,67,Bivalent
spṛhay,6,66,Bivalent
lul,6,65,Bivalent
udvap,6,64,Bivalent
dohay,6,62,Bivalent
vāmay,6,61,Bivalent
prā,6,60,Bivalent
abhiniṣkram,6,59,Bivalent
kath,6,57,Bivalent
samuttejay,6,57,Bivalent
samavekṣ,6,56,Bivalent
stubh,6,56,Bivalent
ṣpīḍay,6,56,Bivalent
āviṣkṛ,6,55,Bivalent
ścar,6,55,Bivalent
iṣay,6,54,Bivalent
uc,6,53,Bivalent
vṛṣāy,6,52,Bivalent
cihnay,6,50,Bivalent
dhūrv,6,50,Bivalent
proh,6,50,Bivalent
udbhid,6,49,Bivalent
viparyas,6,49,Bivalent
samudīray,6,48,Bivalent
upasaṃpad,6,48,Bivalent
siṣās,6,46,Bivalent
sthagay,6,46,Bivalent
viniṣkram,6,45,Bivalent
ṛj,6,44,Bivalent
purodhā,6,43,Bivalent
ṣūday,6,43,Bivalent
t￞,6,41,Bivalent
ghṛ,6,38,Bivalent
piś,6,37,Bivalent
duvasy,6,36,Bivalent
tuj,6,36,Bivalent
unnamay,6,36,Bivalent
abhinirvartay,6,35,Bivalent
arhay,6,35,Bivalent
nartay,6,35,Bivalent
sukhay,6,34,Bivalent
udūh,6,33,Bivalent
mārgay,6,31,Bivalent
marmṛj,6,30,Bivalent
prativyūh,6,30,Bivalent
ullaṅghay,6,30,Bivalent
kṣu,6,28,Bivalent
luṭh,6,28,Bivalent
bhas,6,27,Bivalent
caṅkram,6,27,Bivalent
kheday,6,27,Bivalent
ribh,6,27,Bivalent
udañc,6,27,Bivalent
uddru,6,27,Bivalent
bhramay,6,26,Bivalent
ṇū,6,26,Bivalent
ghrāpay,6,25,Bivalent
varvṛt,6,25,Bivalent
citay,6,24,Bivalent
pratyudi,6,24,Bivalent
vyave,6,24,Bivalent
yopay,6,24,Bivalent
abhiniryā,6,23,Bivalent
cchā,6,23,Bivalent
sap,6,23,Bivalent
udās,6,21,Bivalent
ṇah,6,20,Bivalent
ṣkambh,6,20,Bivalent
ṣkṛ,6,20,Bivalent
coray,6,19,Bivalent
samudvah,6,19,Bivalent
śaṃsay,6,18,Bivalent
bībhats,6,17,Bivalent
eṣay,6,17,Bivalent
hrāsay,6,17,Bivalent
kṣap,6,17,Bivalent
rundhay,6,17,Bivalent
ṣīv,6,17,Bivalent
jāgaray,6,16,Bivalent
kṣamay,6,16,Bivalent
upāv,6,16,Bivalent
śabdāpay,6,16,Bivalent
jigamiṣ,6,15,Bivalent
sphālay,6,15,Bivalent
tānay,6,15,Bivalent
anvas,6,14,Bivalent
kranday,6,14,Bivalent
kṛp,6,14,Bivalent
luñc,6,14,Bivalent
si,6,14,Bivalent
veṣay,6,14,Bivalent
vāvad,6,14,Bivalent
yāsay,6,14,Bivalent
abhyavekṣ,6,13,Bivalent
atisaṃdhā,6,13,Bivalent
dhukṣ,6,13,Bivalent
didhiṣ,6,13,Bivalent
manth,6,13,Bivalent
jūrv,6,12,Bivalent
bobhav,6,11,Bivalent
karṇay,6,11,Bivalent
udan,6,11,Bivalent
udvāhay,6,11,Bivalent
udyojay,6,11,Bivalent
ṛd,6,11,Bivalent
sūtray,6,10,Bivalent
śrathay,6,10,Bivalent
dediś,6,9,Bivalent
pan,6,9,Bivalent
unmīlay,6,9,Bivalent
śrāmay,6,9,Bivalent
koṭay,6,8,Bivalent
ruruts,6,8,Bivalent
rāmay,6,8,Bivalent
sāhay,6,8,Bivalent
smaray,6,6,Bivalent
ah,5,9590,Bivalent
anuprāp,5,372,Bivalent
vinyas,5,300,Bivalent
udvij,5,270,Bivalent
udbhū,5,236,Bivalent
vyatī,5,143,Bivalent
samudbhū,5,135,Bivalent
samave,5,127,Bivalent
miṣ,5,111,Bivalent
śrambh,5,110,Bivalent
dṛp,5,107,Bivalent
ruṣ,5,103,Bivalent
upasaṃgrah,5,92,Bivalent
āśay,5,88,Bivalent
abhivyañj,5,82,Bivalent
vyape,5,82,Bivalent
ṣpiṣ,5,82,Bivalent
ṣṭap,5,81,Bivalent
paryūh,5,75,Bivalent
avokṣ,5,73,Bivalent
ñc,5,71,Bivalent
adhyūh,5,70,Bivalent
unmath,5,69,Bivalent
prāduṣkṛ,5,65,Bivalent
pṛtany,5,65,Bivalent
val,5,64,Bivalent
ucchvas,5,63,Bivalent
ṇad,5,60,Bivalent
unmīl,5,59,Bivalent
udgṛ,5,57,Bivalent
upasaṃdhā,5,56,Bivalent
bharjay,5,53,Bivalent
lelih,5,52,Bivalent
uruṣy,5,51,Bivalent
dhāmay,5,47,Bivalent
vakṣ,5,47,Bivalent
dal,5,46,Bivalent
parisaṃkhyā,5,46,Bivalent
ścāray,5,46,Bivalent
nonāv,5,43,Bivalent
anunirvap,5,42,Bivalent
jijiñās,5,41,Bivalent
rej,5,40,Bivalent
yuyuts,5,39,Bivalent
day,5,38,Bivalent
antarbhū,5,36,Bivalent
nānad,5,36,Bivalent
prokṣay,5,36,Bivalent
añcay,5,34,Bivalent
dhvan,5,34,Bivalent
upapre,5,32,Bivalent
raṇ,5,30,Bivalent
abhyasūy,5,29,Bivalent
anusaṃtan,5,29,Bivalent
damay,5,29,Bivalent
hīḍ,5,29,Bivalent
nyūṅkhay,5,29,Bivalent
truṭ,5,29,Bivalent
hrī,5,28,Bivalent
parye,5,28,Bivalent
mith,5,27,Bivalent
preps,5,26,Bivalent
abhyunnī,5,25,Bivalent
utprekṣ,5,24,Bivalent
viniṣpat,5,23,Bivalent
chand,5,22,Bivalent
dhukṣay,5,22,Bivalent
carkar,5,21,Bivalent
ninīṣ,5,21,Bivalent
samupekṣ,5,21,Bivalent
śāpay,5,21,Bivalent
abhisaṃśri,5,20,Bivalent
anupre,5,20,Bivalent
joṣay,5,20,Bivalent
veviṣ,5,20,Bivalent
vyudas,5,20,Bivalent
anuvīkṣ,5,19,Bivalent
anve,5,19,Bivalent
abhinirdiś,5,18,Bivalent
tejay,5,18,Bivalent
uccal,5,18,Bivalent
pravāh,5,17,Bivalent
samunnī,5,17,Bivalent
unmāday,5,17,Bivalent
iṅgay,5,16,Bivalent
sevay,5,16,Bivalent
tur,5,16,Bivalent
choray,5,15,Bivalent
maday,5,15,Bivalent
pruṣ,5,15,Bivalent
samanviṣ,5,15,Bivalent
uccāṭay,5,15,Bivalent
uddīp,5,15,Bivalent
ṣpalāy,5,15,Bivalent
calay,5,14,Bivalent
tirobhū,5,14,Bivalent
vyaṃsay,5,14,Bivalent
abhisaṃgam,5,13,Bivalent
abhisaṃpāday,5,13,Bivalent
anūde,5,13,Bivalent
avekṣay,5,13,Bivalent
karikṛ,5,13,Bivalent
raṇay,5,13,Bivalent
stabhāy,5,13,Bivalent
sūrkṣ,5,13,Bivalent
dhvṛ,5,12,Bivalent
kṣā,5,12,Bivalent
sridh,5,12,Bivalent
āsay,5,12,Bivalent
ūhay,5,12,Bivalent
bharts,5,11,Bivalent
edhay,5,11,Bivalent
kṝ,5,11,Bivalent
pūy,5,11,Bivalent
rap,5,11,Bivalent
grāsay,5,10,Bivalent
jas,5,10,Bivalent
jigāṃs,5,10,Bivalent
luṇṭh,5,10,Bivalent
mumukṣ,5,10,Bivalent
yoyu,5,10,Bivalent
ḍhauk,5,10,Bivalent
tarṣay,5,9,Bivalent
tsar,5,9,Bivalent
ukṣay,5,9,Bivalent
vedh,5,9,Bivalent
vāśay,5,9,Bivalent
dambhay,5,8,Bivalent
sampratīkṣ,5,8,Bivalent
śāsay,5,8,Bivalent
ḍhaukay,5,8,Bivalent
ṣkṛt,5,8,Bivalent
kūlay,5,7,Bivalent
kṛpay,5,7,Bivalent
psā,5,7,Bivalent
ghaṭṭ,5,6,Bivalent
hrāday,5,6,Bivalent
manāy,5,6,Bivalent
ujjīvay,5,6,Bivalent
vejay,5,6,Bivalent
akṣ,5,5,Bivalent
chad,4,368,Monovalent
unmad,4,278,Monovalent
samudyam,4,125,Monovalent
samuddiś,4,116,Monovalent
unmā,4,109,Monovalent
abhīps,4,106,Monovalent
lal,4,102,Monovalent
samudi,4,101,Monovalent
kṣudh,4,100,Monovalent
kvath,4,99,Monovalent
abhiprekṣ,4,89,Monovalent
andhay,4,81,Monovalent
parīps,4,71,Monovalent
bahiṣkṛ,4,65,Monovalent
stanay,4,65,Monovalent
kanikrad,4,61,Monovalent
paryukṣ,4,61,Monovalent
avān,4,60,Monovalent
aṭ,4,60,Monovalent
udvṛt,4,58,Monovalent
ṇij,4,57,Monovalent
udbhram,4,56,Monovalent
prāv,4,54,Monovalent
nāth,4,53,Monovalent
upāś,4,53,Monovalent
rih,4,50,Monovalent
rah,4,49,Monovalent
ullas,4,46,Monovalent
charday,4,44,Monovalent
prakaṭay,4,44,Monovalent
samudīkṣ,4,44,Monovalent
upasaṃgam,4,41,Monovalent
viniryā,4,41,Monovalent
vyatyas,4,41,Monovalent
upanyas,4,40,Monovalent
parinirvā,4,39,Monovalent
udvejay,4,39,Monovalent
hval,4,38,Monovalent
inv,4,38,Monovalent
udvīkṣ,4,38,Monovalent
srambh,4,37,Monovalent
nyañc,4,35,Monovalent
didṛkṣ,4,34,Monovalent
upasame,4,34,Monovalent
daśasy,4,33,Monovalent
udvam,4,32,Monovalent
cāmay,4,31,Monovalent
dips,4,31,Monovalent
abhinirmā,4,30,Monovalent
samuccāray,4,30,Monovalent
kvaṇ,4,29,Monovalent
anuparī,4,28,Monovalent
jambhay,4,28,Monovalent
jājval,4,28,Monovalent
abhīndh,4,27,Monovalent
dhūmāy,4,27,Monovalent
iyakṣ,4,27,Monovalent
jāpay,4,27,Monovalent
adhīṣ,4,26,Monovalent
kocay,4,26,Monovalent
mikṣ,4,26,Monovalent
mūtray,4,26,Monovalent
uddīpay,4,24,Monovalent
vepay,4,24,Monovalent
dhamay,4,23,Monovalent
pluṣ,4,23,Monovalent
sas,4,23,Monovalent
anuprāṇ,4,22,Monovalent
paryave,4,22,Monovalent
ṣṭambhay,4,22,Monovalent
abhiprāṇ,4,21,Monovalent
śyā,4,21,Monovalent
cakās,4,20,Monovalent
ceṣṭay,4,20,Monovalent
protsāhay,4,20,Monovalent
skambh,4,20,Monovalent
stan,4,20,Monovalent
aśanāy,4,19,Monovalent
kṣamāpay,4,19,Monovalent
śad,4,19,Monovalent
prer,4,18,Monovalent
udbhṛ,4,18,Monovalent
vīray,4,18,Monovalent
ścut,4,18,Monovalent
adhyas,4,17,Monovalent
davidyut,4,17,Monovalent
nyañj,4,17,Monovalent
tviṣ,4,17,Monovalent
udyā,4,17,Monovalent
upaparīkṣ,4,17,Monovalent
vipare,4,17,Monovalent
abhinirhṛ,4,16,Monovalent
chalay,4,16,Monovalent
samucci,4,16,Monovalent
spṛs,4,16,Monovalent
vinirdah,4,16,Monovalent
anvabhyave,4,15,Monovalent
dhe,4,15,Monovalent
heṭhay,4,15,Monovalent
tūrv,4,15,Monovalent
upapreṣ,4,15,Monovalent
yiyās,4,15,Monovalent
anulomay,4,14,Monovalent
cātay,4,14,Monovalent
irajy,4,14,Monovalent
lelāy,4,14,Monovalent
palyay,4,14,Monovalent
riṣaṇy,4,14,Monovalent
skabhāy,4,14,Monovalent
udvā,4,14,Monovalent
upasaṃnah,4,14,Monovalent
sagh,4,13,Monovalent
sūd,4,13,Monovalent
udaj,4,13,Monovalent
unnāmay,4,13,Monovalent
vell,4,13,Monovalent
śiñj,4,13,Monovalent
ṣṭubh,4,13,Monovalent
atyaś,4,12,Monovalent
dṛṃhay,4,12,Monovalent
galbh,4,12,Monovalent
rājay,4,12,Monovalent
spaṣṭay,4,12,Monovalent
viprekṣ,4,12,Monovalent
īṅkhay,4,12,Monovalent
jarbhur,4,11,Monovalent
krodhay,4,11,Monovalent
med,4,11,Monovalent
muṣāy,4,11,Monovalent
nas,4,11,Monovalent
raṃh,4,11,Monovalent
abhisame,4,10,Monovalent
abhisaṃyuj,4,10,Monovalent
jijīviṣ,4,10,Monovalent
kadarthay,4,10,Monovalent
khanay,4,10,Monovalent
kuṇṭhay,4,10,Monovalent
kās,4,10,Monovalent
rasay,4,10,Monovalent
smāpay,4,10,Monovalent
upasaṃpāday,4,10,Monovalent
upeps,4,10,Monovalent
ṇamay,4,10,Monovalent
apombh,4,9,Monovalent
chaday,4,9,Monovalent
dalay,4,9,Monovalent
paryṛṣ,4,9,Monovalent
rāpay,4,9,Monovalent
vivikṣ,4,9,Monovalent
āday,4,9,Monovalent
atipāvay,4,8,Monovalent
dakṣ,4,8,Monovalent
hāvay,4,8,Monovalent
kṣoday,4,8,Monovalent
manasy,4,8,Monovalent
marmṛś,4,8,Monovalent
nannam,4,8,Monovalent
paryās,4,8,Monovalent
pratisaṃveday,4,8,Monovalent
samprārthay,4,8,Monovalent
sukhāy,4,8,Monovalent
tak,4,8,Monovalent
tambhay,4,8,Monovalent
tij,4,8,Monovalent
vanday,4,8,Monovalent
abhyudīkṣ,4,7,Monovalent
apodi,4,7,Monovalent
dhvanay,4,7,Monovalent
dṛbh,4,7,Monovalent
haviṣkṛ,4,7,Monovalent
jighats,4,7,Monovalent
kuṣ,4,7,Monovalent
kṣad,4,7,Monovalent
parisaṃsthāpay,4,7,Monovalent
praśnay,4,7,Monovalent
uduṣ,4,7,Monovalent
vevid,4,7,Monovalent
adhyeṣay,4,6,Monovalent
anusaṃsthā,4,6,Monovalent
anusaṃyā,4,6,Monovalent
atyas,4,6,Monovalent
kṛntay,4,6,Monovalent
kṣveḍay,4,6,Monovalent
priyāy,4,6,Monovalent
ubh,4,6,Monovalent
cchanday,4,5,Monovalent
didās,4,5,Monovalent
dolay,4,5,Monovalent
ghāṭay,4,5,Monovalent
glāpay,4,5,Monovalent
kū,4,5,Monovalent
kṣāpay,4,5,Monovalent
lajjay,4,5,Monovalent
upāj,4,5,Monovalent
anusaṃvraj,4,4,Monovalent
indhay,4,4,Monovalent
krūḍay,4,4,Monovalent
prapañcay,4,4,Monovalent
samunmūlay,4,4,Monovalent
vyavekṣ,4,4,Monovalent
saṃpreṣ,3,336,Monovalent
samprekṣ,3,203,Monovalent
ī,3,193,Monovalent
uddhū,3,145,Monovalent
darpay,3,119,Monovalent
upaniṣkram,3,113,Monovalent
klam,3,92,Monovalent
ūrjay,3,90,Monovalent
abhīṣ,3,82,Monovalent
samabhyarcay,3,82,Monovalent
udyuj,3,80,Monovalent
udric,3,70,Monovalent
śośuc,3,68,Monovalent
abhinirvṛt,3,64,Monovalent
dvaṃdvay,3,54,Monovalent
vinirbhid,3,54,Monovalent
vinirji,3,54,Monovalent
samabhye,3,53,Monovalent
tapasy,3,53,Monovalent
cchṛd,3,51,Monovalent
prāviṣkṛ,3,49,Monovalent
samatī,3,49,Monovalent
arātīy,3,42,Monovalent
samabhyas,3,40,Monovalent
yavay,3,39,Monovalent
patay,3,35,Monovalent
roro,3,35,Monovalent
spṛh,3,35,Monovalent
jighṛkṣay,3,34,Monovalent
unmiṣ,3,34,Monovalent
eray,3,31,Monovalent
gṛbhāy,3,29,Monovalent
samunnam,3,29,Monovalent
hras,3,28,Monovalent
paty,3,28,Monovalent
prasaṃkhyā,3,27,Monovalent
utkaṇṭh,3,27,Monovalent
āmay,3,27,Monovalent
unnad,3,25,Monovalent
pratiparī,3,24,Monovalent
śṛdh,3,23,Monovalent
abhiparī,3,22,Monovalent
samuttāray,3,22,Monovalent
vīḍay,3,22,Monovalent
styai,3,20,Monovalent
uddyotay,3,20,Monovalent
udgranth,3,20,Monovalent
ujjval,3,20,Monovalent
aghāy,3,19,Monovalent
mukharay,3,19,Monovalent
ṣkas,3,19,Monovalent
glapay,3,18,Monovalent
pallavay,3,18,Monovalent
pipās,3,18,Monovalent
preṅkh,3,18,Monovalent
vanuṣy,3,18,Monovalent
anupreṣay,3,17,Monovalent
dhan,3,17,Monovalent
kṣviḍ,3,17,Monovalent
samuccar,3,17,Monovalent
samudvij,3,17,Monovalent
abhyatī,3,16,Monovalent
samprakās,3,16,Monovalent
unnah,3,16,Monovalent
upoh,3,16,Monovalent
chṛd,3,15,Monovalent
khāday,3,15,Monovalent
rerih,3,15,Monovalent
atyṛj,3,14,Monovalent
ilay,3,14,Monovalent
samunmṛj,3,14,Monovalent
udbandh,3,14,Monovalent
vinirdhū,3,14,Monovalent
abhyucchri,3,13,Monovalent
antargā,3,13,Monovalent
badbadh,3,13,Monovalent
guñj,3,13,Monovalent
myakṣ,3,13,Monovalent
projh,3,13,Monovalent
stakṣ,3,13,Monovalent
tuś,3,13,Monovalent
ujjhā,3,13,Monovalent
abhiniṣpad,3,12,Monovalent
apyas,3,12,Monovalent
camay,3,12,Monovalent
ccho,3,12,Monovalent
dakṣay,3,12,Monovalent
dodhu,3,12,Monovalent
marcay,3,12,Monovalent
ṣac,3,12,Monovalent
abhisaṃci,3,11,Monovalent
inakṣ,3,11,Monovalent
jihās,3,11,Monovalent
kīlay,3,11,Monovalent
pratyudyam,3,11,Monovalent
samullas,3,11,Monovalent
upanirhṛ,3,11,Monovalent
upoṣ,3,11,Monovalent
vinirvṛt,3,11,Monovalent
yup,3,11,Monovalent
śamāy,3,11,Monovalent
anūdi,3,10,Monovalent
anūjji,3,10,Monovalent
at,3,10,Monovalent
citrīy,3,10,Monovalent
dālay,3,10,Monovalent
kṣṇu,3,10,Monovalent
nyāsay,3,10,Monovalent
turaṇy,3,10,Monovalent
vrādh,3,10,Monovalent
ṣpā,3,10,Monovalent
andhray,3,9,Monovalent
antardhāpay,3,9,Monovalent
draḍhay,3,9,Monovalent
eṣ,3,9,Monovalent
glah,3,9,Monovalent
panay,3,9,Monovalent
pratisaṃmoday,3,9,Monovalent
pruṣāy,3,9,Monovalent
prāj,3,9,Monovalent
roday,3,9,Monovalent
tartar,3,9,Monovalent
ucchvāsay,3,9,Monovalent
uddharṣay,3,9,Monovalent
upaghrāpay,3,9,Monovalent
vyavān,3,9,Monovalent
śim,3,9,Monovalent
ṣpū,3,9,Monovalent
abhisaṃjñā,3,8,Monovalent
apaplāvay,3,8,Monovalent
carkṛṣ,3,8,Monovalent
citray,3,8,Monovalent
cyut,3,8,Monovalent
durasy,3,8,Monovalent
gāhay,3,8,Monovalent
pravī,3,8,Monovalent
pī,3,8,Monovalent
sampre,3,8,Monovalent
sarsṛ,3,8,Monovalent
uddhā,3,8,Monovalent
uddhāray,3,8,Monovalent
valay,3,8,Monovalent
vanīvāh,3,8,Monovalent
vyuccar,3,8,Monovalent
vīṣ,3,8,Monovalent
anūcchri,3,7,Monovalent
apacikramiṣ,3,7,Monovalent
bharibhṛ,3,7,Monovalent
bibhits,3,7,Monovalent
chā,3,7,Monovalent
iṣaṇy,3,7,Monovalent
jañjabh,3,7,Monovalent
kāsay,3,7,Monovalent
liś,3,7,Monovalent
manday,3,7,Monovalent
mandāy,3,7,Monovalent
ned,3,7,Monovalent
nenīy,3,7,Monovalent
nikṣ,3,7,Monovalent
niṃs,3,7,Monovalent
nyṛṣ,3,7,Monovalent
prārc,3,7,Monovalent
riñc,3,7,Monovalent
rurukṣ,3,7,Monovalent
ucchoṣay,3,7,Monovalent
udāp,3,7,Monovalent
upasaṃtan,3,7,Monovalent
viniścar,3,7,Monovalent
abhiprokṣ,3,6,Monovalent
abhiprāp,3,6,Monovalent
abhisaṃkram,3,6,Monovalent
abhyutpūray,3,6,Monovalent
anusaṃsmṛ,3,6,Monovalent
bharay,3,6,Monovalent
jyotay,3,6,Monovalent
lāsay,3,6,Monovalent
mlāpay,3,6,Monovalent
naṭ,3,6,Monovalent
nejay,3,6,Monovalent
ninday,3,6,Monovalent
pavitray,3,6,Monovalent
pratisaṃgrah,3,6,Monovalent
rahay,3,6,Monovalent
rup,3,6,Monovalent
samullikh,3,6,Monovalent
sedhay,3,6,Monovalent
sphūrjay,3,6,Monovalent
tamay,3,6,Monovalent
udīṣ,3,6,Monovalent
unmocay,3,6,Monovalent
upapare,3,6,Monovalent
upasaṃsṛj,3,6,Monovalent
vaśay,3,6,Monovalent
vyucchid,3,6,Monovalent
yoyup,3,6,Monovalent
ārdray,3,6,Monovalent
śruṣ,3,6,Monovalent
śulkay,3,6,Monovalent
ṛtīy,3,6,Monovalent
abhyapān,3,5,Monovalent
anuprekṣ,3,5,Monovalent
avadhīray,3,5,Monovalent
bhiṣaj,3,5,Monovalent
bubhuts,3,5,Monovalent
cakṣay,3,5,Monovalent
caraṇy,3,5,Monovalent
cikīṣ,3,5,Monovalent
dhīps,3,5,Monovalent
gaveṣ,3,5,Monovalent
hvāyay,3,5,Monovalent
iñjay,3,5,Monovalent
kal,3,5,Monovalent
kṛpāy,3,5,Monovalent
mathāy,3,5,Monovalent
mīv,3,5,Monovalent
nirakṣ,3,5,Monovalent
prekṣay,3,5,Monovalent
rapś,3,5,Monovalent
rejay,3,5,Monovalent
sampratī,3,5,Monovalent
spāśay,3,5,Monovalent
surabhay,3,5,Monovalent
tirobhāvay,3,5,Monovalent
trikoṭay,3,5,Monovalent
tu,3,5,Monovalent
uddhvaṃs,3,5,Monovalent
udgāh,3,5,Monovalent
udvad,3,5,Monovalent
udve,3,5,Monovalent
udveṣṭ,3,5,Monovalent
upode,3,5,Monovalent
vighnay,3,5,Monovalent
vātay,3,5,Monovalent
āvirbhāvay,3,5,Monovalent
īrṣy,3,5,Monovalent
ś,3,5,Monovalent
śubhay,3,5,Monovalent
abhinirgam,3,4,Monovalent
anukūlay,3,4,Monovalent
barbṛh,3,4,Monovalent
dehay,3,4,Monovalent
dhanay,3,4,Monovalent
dhav,3,4,Monovalent
dhūlay,3,4,Monovalent
dudhūrṣ,3,4,Monovalent
hlād,3,4,Monovalent
irasy,3,4,Monovalent
jabh,3,4,Monovalent
jalpay,3,4,Monovalent
kelāy,3,4,Monovalent
lālap,3,4,Monovalent
mamāy,3,4,Monovalent
nidrāy,3,4,Monovalent
preṅkhay,3,4,Monovalent
proccāray,3,4,Monovalent
proddhṛ,3,4,Monovalent
protay,3,4,Monovalent
samabhyave,3,4,Monovalent
samadhī,3,4,Monovalent
samucchvas,3,4,Monovalent
samudgrah,3,4,Monovalent
samunmajj,3,4,Monovalent
skhalay,3,4,Monovalent
spanday,3,4,Monovalent
sphuṭay,3,4,Monovalent
sīkṣ,3,4,Monovalent
tantray,3,4,Monovalent
unmṛś,3,4,Monovalent
upasaṃśri,3,4,Monovalent
uḍḍīy,3,4,Monovalent
vat,3,4,Monovalent
vinirhan,3,4,Monovalent
visaṃvad,3,4,Monovalent
yakṣ,3,4,Monovalent
ārogyay,3,4,Monovalent
śnathay,3,4,Monovalent
śrambhay,3,4,Monovalent
śravay,3,4,Monovalent
ṣevay,3,4,Monovalent
abhinirvap,3,3,Monovalent
abhiniṣpat,3,3,Monovalent
abhyuddru,3,3,Monovalent
abhyutkramay,3,3,Monovalent
anusaṃkram,3,3,Monovalent
apāj,3,3,Monovalent
bhur,3,3,Monovalent
ccheday,3,3,Monovalent
damāy,3,3,Monovalent
gandhay,3,3,Monovalent
ganīgam,3,3,Monovalent
garjay,3,3,Monovalent
gātuy,3,3,Monovalent
hūrch,3,3,Monovalent
jighṛkṣ,3,3,Monovalent
juhūṣ,3,3,Monovalent
larday,3,3,Monovalent
narday,3,3,Monovalent
nāṭay,3,3,Monovalent
palyaṅy,3,3,Monovalent
parikarmay,3,3,Monovalent
paryudas,3,3,Monovalent
pipatiṣ,3,3,Monovalent
pratimīv,3,3,Monovalent
pratisaṃdiś,3,3,Monovalent
pratyudīkṣ,3,3,Monovalent
pratyupe,3,3,Monovalent
raṃhay,3,3,Monovalent
reṣay,3,3,Monovalent
riś,3,3,Monovalent
rāraj,3,3,Monovalent
rāvay,3,3,Monovalent
samparī,3,3,Monovalent
samunmīl,3,3,Monovalent
srevay,3,3,Monovalent
subh,3,3,Monovalent
takṣay,3,3,Monovalent
taray,3,3,Monovalent
udgrāhay,3,3,Monovalent
udvraj,3,3,Monovalent
unmanāy,3,3,Monovalent
unmṛd,3,3,Monovalent
upodgrah,3,3,Monovalent
upāvekṣ,3,3,Monovalent
vivats,3,3,Monovalent
yuyukṣ,3,3,Monovalent
śriṣ,3,3,Monovalent
śyetīkṛ,3,3,Monovalent
ḍamb,3,3,Monovalent
vinirmuc,2,229,Monovalent
viniści,2,92,Monovalent
vrīḍ,2,84,Monovalent
samanuprāp,2,79,Monovalent
bubhukṣ,2,73,Monovalent
abhisaṃvṛ,2,71,Monovalent
samucchri,2,66,Monovalent
kalkay,2,62,Monovalent
abhisaṃtap,2,55,Monovalent
jvaray,2,49,Monovalent
tandray,2,45,Monovalent
nabh,2,42,Monovalent
samprokṣ,2,38,Monovalent
abhisaṃviś,2,36,Monovalent
didhakṣ,2,35,Monovalent
pṛtanāy,2,33,Monovalent
samudgam,2,28,Monovalent
samuddhū,2,27,Monovalent
ṛtāy,2,27,Monovalent
mumūrṣ,2,26,Monovalent
saṃprokṣay,2,25,Monovalent
cañc,2,23,Monovalent
dhavalay,2,23,Monovalent
lālapy,2,23,Monovalent
uḍḍī,2,23,Monovalent
ṣkvāthay,2,23,Monovalent
dolāy,2,22,Monovalent
śatrūy,2,22,Monovalent
anvañj,2,21,Monovalent
cekit,2,21,Monovalent
dhyāyay,2,21,Monovalent
rpay,2,21,Monovalent
parīkṣay,2,20,Monovalent
pratibimb,2,20,Monovalent
udghuṣ,2,20,Monovalent
parisaṃvah,2,19,Monovalent
prativīkṣ,2,19,Monovalent
anusaṃsṛp,2,18,Monovalent
lohitāy,2,18,Monovalent
rorūy,2,18,Monovalent
anusamprāp,2,17,Monovalent
bhasmay,2,17,Monovalent
saṃnirmā,2,17,Monovalent
vi,2,17,Monovalent
al,2,16,Monovalent
jarhṛṣ,2,16,Monovalent
ullāsay,2,16,Monovalent
upāñj,2,16,Monovalent
viniṣpiṣ,2,16,Monovalent
dodhūy,2,15,Monovalent
iṅg,2,15,Monovalent
iṣudhy,2,15,Monovalent
pratisaṃsṛj,2,13,Monovalent
āvay,2,13,Monovalent
śravasy,2,13,Monovalent
anūnnī,2,12,Monovalent
cirāy,2,12,Monovalent
pulakay,2,12,Monovalent
ucci,2,12,Monovalent
ullup,2,12,Monovalent
viparī,2,12,Monovalent
anūddru,2,11,Monovalent
cat,2,11,Monovalent
dedīpy,2,11,Monovalent
j￞,2,11,Monovalent
pravinyas,2,11,Monovalent
stud,2,11,Monovalent
udvepay,2,11,Monovalent
vamay,2,11,Monovalent
varey,2,11,Monovalent
vivits,2,11,Monovalent
śithilay,2,11,Monovalent
abhisaṃrabh,2,10,Monovalent
kaṇḍay,2,10,Monovalent
prādhī,2,10,Monovalent
samutkruś,2,10,Monovalent
tarj,2,10,Monovalent
upasaṃprāp,2,10,Monovalent
upātī,2,10,Monovalent
śabdāy,2,10,Monovalent
ṇed,2,10,Monovalent
abhinirji,2,9,Monovalent
adhvarīy,2,9,Monovalent
bhuraṇy,2,9,Monovalent
cañcūry,2,9,Monovalent
endh,2,9,Monovalent
nigaḍay,2,9,Monovalent
uñch,2,9,Monovalent
vinirhṛ,2,9,Monovalent
abhyude,2,8,Monovalent
avās,2,8,Monovalent
cimicimāy,2,8,Monovalent
dhraj,2,8,Monovalent
luj,2,8,Monovalent
mithyākṛ,2,8,Monovalent
muṇḍay,2,8,Monovalent
