root,valency,tokens,tier
mānay,38,514,Bivalent
vṛh,38,139,Bivalent
nāmay,38,101,Bivalent
pac,37,2238,Bivalent
cyu,37,923,Bivalent
vṛṣ,37,807,Bivalent
mohay,37,643,Bivalent
krīḍ,37,565,Bivalent
dāpay,36,821,Bivalent
cal,36,722,Bivalent
śodhay,36,700,Bivalent
śoṣay,36,580,Bivalent
ghātay,36,290,Bivalent
pāṭay,36,264,Bivalent
cālay,36,215,Bivalent
srāvay,36,169,Bivalent
jap,35,1807,Bivalent
tarpay,35,1153,Bivalent
yat,35,1010,Bivalent
duh,35,845,Bivalent
dhāpay,35,212,Bivalent
sidh,34,2659,Bivalent
muh,34,1308,Bivalent
ṛdh,34,1072,Bivalent
kāṅkṣ,34,417,Bivalent
rādh,34,388,Bivalent
rocay,34,329,Bivalent
arcay,33,965,Bivalent
bhram,33,963,Bivalent
indh,33,821,Bivalent
jñapay,33,342,Bivalent
ruj,33,208,Bivalent
tṛd,33,146,Bivalent
jval,32,1079,Bivalent
rāj,32,855,Bivalent
rañj,32,705,Bivalent
śamay,32,512,Bivalent
lih,32,486,Bivalent
harṣay,32,258,Bivalent
pṛc,32,229,Bivalent
gaṇay,32,202,Bivalent
mi,32,179,Bivalent
śram,31,778,Bivalent
lepay,31,692,Bivalent
ṛch,31,612,Bivalent
majj,31,589,Bivalent
dhṛṣ,31,260,Bivalent
śuṣ,31,240,Bivalent
mocay,31,208,Bivalent
marday,30,1971,Bivalent
ruc,30,659,Bivalent
tras,30,524,Bivalent
bhraṃś,30,520,Bivalent
nṛt,30,432,Bivalent
ṣidh,30,305,Bivalent
śliṣ,30,278,Bivalent
ṣañj,30,264,Bivalent
arthay,30,219,Bivalent
kampay,30,214,Bivalent
vadh,29,1307,Bivalent
gad,29,765,Bivalent
arpay,29,716,Bivalent
arc,29,638,Bivalent
nāśay,29,634,Bivalent
tāḍay,29,500,Bivalent
kṣar,29,283,Bivalent
yātay,29,162,Bivalent
khyāpay,29,116,Bivalent
mṛ,28,2665,Bivalent
ās,28,2061,Bivalent
prī,28,1847,Bivalent
bhañj,28,875,Bivalent
cūrṇay,28,759,Bivalent
rud,28,739,Bivalent
vand,28,704,Bivalent
śāmay,28,501,Bivalent
kāśay,28,347,Bivalent
skand,28,313,Bivalent
dhvaṃs,28,288,Bivalent
vraśc,28,211,Bivalent
tuṣ,27,1104,Bivalent
su,27,939,Bivalent
mud,27,845,Bivalent
hi,27,666,Bivalent
sphur,27,471,Bivalent
dih,27,351,Bivalent
dāray,27,350,Bivalent
toṣay,27,331,Bivalent
nāday,27,311,Bivalent
grāhay,27,233,Bivalent
bhās,27,190,Bivalent
pāray,27,158,Bivalent
ghuṣ,27,112,Bivalent
kathay,26,3507,Bivalent
krudh,26,2250,Bivalent
naś,26,2022,Bivalent
kāmay,26,1071,Bivalent
nad,26,705,Bivalent
smi,26,620,Bivalent
dūṣay,26,405,Bivalent
śikṣ,26,378,Bivalent
vye,26,299,Bivalent
jvālay,26,272,Bivalent
krand,26,225,Bivalent
ṇud,26,194,Bivalent
tud,26,159,Bivalent
kālay,26,90,Bivalent
ghoṣay,26,89,Bivalent
bhakṣay,25,1456,Bivalent
jṛ,25,1441,Bivalent
tṛp,25,751,Bivalent
nind,25,701,Bivalent
kup,25,698,Bivalent
drāvay,25,409,Bivalent
stambh,25,367,Bivalent
rañjay,25,359,Bivalent
deśay,25,346,Bivalent
ceṣṭ,25,291,Bivalent
mī,25,222,Bivalent
khid,25,218,Bivalent
loḍay,25,171,Bivalent
bhāsay,25,148,Bivalent
tarkay,25,139,Bivalent
rohay,25,119,Bivalent
krāmay,25,62,Bivalent
śak,24,1961,Bivalent
dīp,24,1480,Bivalent
hiṃs,24,816,Bivalent
paṭh,24,609,Bivalent
do,24,584,Bivalent
śap,24,515,Bivalent
yodhay,24,298,Bivalent
kṣubh,24,290,Bivalent
rūpay,24,223,Bivalent
muṣ,24,196,Bivalent
dharṣay,24,173,Bivalent
jīvay,24,172,Bivalent
veṣṭ,24,92,Bivalent
chid,23,2203,Bivalent
snā,23,1683,Bivalent
ṇam,23,1136,Bivalent
duṣ,23,954,Bivalent
daṃś,23,369,Bivalent
mārjay,23,255,Bivalent
kṣobhay,23,196,Bivalent
rodhay,23,170,Bivalent
āpay,23,97,Bivalent
kramay,23,87,Bivalent
karṣay,23,82,Bivalent
svap,22,1326,Bivalent
kṣālay,22,623,Bivalent
pācay,22,537,Bivalent
thāpay,22,286,Bivalent
sraṃs,22,252,Bivalent
ghṛṣ,22,217,Bivalent
ve,22,214,Bivalent
mṛṣ,22,165,Bivalent
dīv,22,161,Bivalent
bhartsay,22,110,Bivalent
nanday,22,83,Bivalent
dhvaṃsay,22,60,Bivalent
vī,21,774,Bivalent
pāyay,21,403,Bivalent
ukṣ,21,395,Bivalent
vam,21,245,Bivalent
sāntvay,21,223,Bivalent
mokṣay,21,182,Bivalent
vic,21,178,Bivalent
jalp,21,160,Bivalent
mīlay,21,137,Bivalent
cyāvay,21,130,Bivalent
kūj,21,128,Bivalent
mih,21,110,Bivalent
māpay,21,86,Bivalent
bhūṣ,21,69,Bivalent
śudh,20,3171,Bivalent
dviṣ,20,1414,Bivalent
vācay,20,620,Bivalent
trā,20,520,Bivalent
kliś,20,326,Bivalent
garh,20,310,Bivalent
recay,20,207,Bivalent
vip,20,206,Bivalent
yāpay,20,155,Bivalent
druh,20,114,Bivalent
dyotay,20,99,Bivalent
moday,20,99,Bivalent
śātay,20,73,Bivalent
īray,19,662,Bivalent
gup,19,636,Bivalent
ṣṭhāpay,19,582,Bivalent
gras,19,525,Bivalent
puṣ,19,452,Bivalent
ghāray,19,434,Bivalent
vyath,19,426,Bivalent
pyā,19,386,Bivalent
racay,19,340,Bivalent
riṣ,19,302,Bivalent
ṣṭu,19,201,Bivalent
nard,19,150,Bivalent
ru,19,134,Bivalent
tam,19,123,Bivalent
sphoṭay,19,91,Bivalent
ṣṭhīv,19,73,Bivalent
dīkṣ,18,879,Bivalent
tvar,18,577,Bivalent
yājay,18,437,Bivalent
ṇaś,18,331,Bivalent
bhrāj,18,301,Bivalent
gal,18,292,Bivalent
miśray,18,290,Bivalent
garj,18,223,Bivalent
cikīrṣ,18,218,Bivalent
trāsay,18,201,Bivalent
takṣ,18,175,Bivalent
jṛmbh,18,171,Bivalent
stambhay,18,162,Bivalent
dhūpay,18,157,Bivalent
laṅghay,18,153,Bivalent
ghaṭ,18,134,Bivalent
sūcay,18,132,Bivalent
cikits,18,131,Bivalent
mārg,18,110,Bivalent
cāy,18,96,Bivalent
cṛt,18,69,Bivalent
ghaṭay,18,57,Bivalent
juṣ,17,1236,Bivalent
ad,17,703,Bivalent
śobhay,17,569,Bivalent
bhojay,17,526,Bivalent
kṣam,17,442,Bivalent
ṣev,17,399,Bivalent
sveday,17,389,Bivalent
māray,17,385,Bivalent
chāday,17,371,Bivalent
ṣvaj,17,359,Bivalent
jāgṛ,17,346,Bivalent
kāś,17,327,Bivalent
van,17,230,Bivalent
ṣecay,17,215,Bivalent
śeṣay,17,195,Bivalent
kalay,17,189,Bivalent
vij,17,146,Bivalent
nāyay,17,145,Bivalent
kopay,17,141,Bivalent
und,17,103,Bivalent
bheday,17,101,Bivalent
pothay,17,95,Bivalent
viṣ,17,93,Bivalent
namay,17,79,Bivalent
sarpay,17,39,Bivalent
prāp,16,6022,Bivalent
iṣ,16,4844,Bivalent
upe,16,2226,Bivalent
bhūṣay,16,924,Bivalent
av,16,869,Bivalent
arday,16,591,Bivalent
pyāyay,16,357,Bivalent
peṣay,16,323,Bivalent
cit,16,274,Bivalent
granth,16,178,Bivalent
bhakṣ,16,173,Bivalent
palāy,16,163,Bivalent
ramay,16,154,Bivalent
ghaṭṭay,16,107,Bivalent
hnu,16,95,Bivalent
lips,16,88,Bivalent
spand,16,73,Bivalent
sparśay,16,72,Bivalent
an,16,35,Bivalent
bhī,15,1387,Bivalent
śrī,15,655,Bivalent
śubh,15,557,Bivalent
sarjay,15,284,Bivalent
snāpay,15,201,Bivalent
san,15,197,Bivalent
gālay,15,177,Bivalent
spṛ,15,166,Bivalent
bandhay,15,143,Bivalent
dyut,15,129,Bivalent
prathay,15,115,Bivalent
jigīṣ,15,85,Bivalent
majjay,15,78,Bivalent
das,15,76,Bivalent
hāpay,15,71,Bivalent
valg,15,63,Bivalent
smāray,15,57,Bivalent
svar,15,56,Bivalent
dhāvay,15,49,Bivalent
gur,15,48,Bivalent
mīl,15,48,Bivalent
vlī,15,31,Bivalent
antardhā,14,1011,Bivalent
jāray,14,671,Bivalent
cam,14,476,Bivalent
ardhay,14,407,Bivalent
prath,14,370,Bivalent
sac,14,324,Bivalent
mūrch,14,256,Bivalent
varay,14,215,Bivalent
spṛdh,14,198,Bivalent
kṣapay,14,166,Bivalent
sphuṭ,14,166,Bivalent
skhal,14,152,Bivalent
bhrāmay,14,141,Bivalent
syand,14,120,Bivalent
du,14,104,Bivalent
dabh,14,100,Bivalent
śīlay,14,96,Bivalent
dhmāpay,14,94,Bivalent
jijñās,14,90,Bivalent
svāday,14,88,Bivalent
marṣay,14,81,Bivalent
garhay,14,76,Bivalent
śocay,14,70,Bivalent
tarjay,14,68,Bivalent
hlāday,14,55,Bivalent
jihīrṣ,14,43,Bivalent
kṣepay,14,24,Bivalent
śleṣay,14,20,Bivalent
avāp,13,1574,Bivalent
śā,13,1165,Bivalent
upās,13,1140,Bivalent
prekṣ,13,576,Bivalent
pratī,13,423,Bivalent
khād,13,375,Bivalent
anviṣ,13,361,Bivalent
unnī,13,311,Bivalent
gopāy,13,272,Bivalent
jighāṃs,13,204,Bivalent
edh,13,201,Bivalent
pṛṇ,13,141,Bivalent
īh,13,141,Bivalent
phal,13,136,Bivalent
īr,13,118,Bivalent
mlā,13,115,Bivalent
nū,13,106,Bivalent
kuñc,13,103,Bivalent
sīv,13,103,Bivalent
uṣ,13,102,Bivalent
cetay,13,98,Bivalent
khaṇḍay,13,78,Bivalent
dhī,13,76,Bivalent
dāhay,13,74,Bivalent
añjay,13,71,Bivalent
lālay,13,71,Bivalent
tṛṣ,13,71,Bivalent
bhājay,13,54,Bivalent
kleśay,13,52,Bivalent
mruc,13,49,Bivalent
ran,13,48,Bivalent
stāray,13,39,Bivalent
lambay,13,26,Bivalent
dhūnay,13,18,Bivalent
uddhṛ,12,1056,Bivalent
udi,12,960,Bivalent
avekṣ,12,690,Bivalent
vīkṣ,12,497,Bivalent
prārthay,12,424,Bivalent
svid,12,397,Bivalent
mūrchay,12,369,Bivalent
parīkṣ,12,349,Bivalent
lag,12,291,Bivalent
rā,12,233,Bivalent
pratīkṣ,12,231,Bivalent
arjay,12,214,Bivalent
maṇḍay,12,195,Bivalent
klid,12,183,Bivalent
vañcay,12,181,Bivalent
bṛṃhay,12,122,Bivalent
yantray,12,110,Bivalent
ghūrṇ,12,100,Bivalent
lū,12,96,Bivalent
mand,12,90,Bivalent
cumb,12,77,Bivalent
gṛdh,12,70,Bivalent
dits,12,68,Bivalent
śvi,12,68,Bivalent
gopay,12,65,Bivalent
vījay,12,65,Bivalent
udghāṭay,12,63,Bivalent
mahay,12,62,Bivalent
bhīṣay,12,51,Bivalent
lāpay,12,41,Bivalent
noday,12,41,Bivalent
paṇ,12,39,Bivalent
kleday,12,32,Bivalent
varṣay,12,32,Bivalent
kṣāray,12,27,Bivalent
lopay,12,26,Bivalent
dhits,12,20,Bivalent
arh,11,2382,Bivalent
e,11,1409,Bivalent
adhī,11,887,Bivalent
samprāp,11,804,Bivalent
nyas,11,798,Bivalent
alaṃkṛ,11,677,Bivalent
parī,11,581,Bivalent
ṣkram,11,386,Bivalent
kṣan,11,373,Bivalent
udgā,11,283,Bivalent
dṛh,11,279,Bivalent
upekṣ,11,248,Bivalent
karśay,11,224,Bivalent
vāñch,11,217,Bivalent
mnā,11,198,Bivalent
preray,11,195,Bivalent
ṣu,11,159,Bivalent
prāpay,11,155,Bivalent
dis,11,146,Bivalent
ṇāmay,11,143,Bivalent
uccāray,11,139,Bivalent
pāvay,11,137,Bivalent
mṛgay,11,108,Bivalent
bhikṣ,11,104,Bivalent
kvāthay,11,98,Bivalent
so,11,92,Bivalent
sūday,11,88,Bivalent
svad,11,84,Bivalent
vāś,11,77,Bivalent
prach,11,68,Bivalent
mah,11,64,Bivalent
aj,11,61,Bivalent
vyathay,11,61,Bivalent
laṅgh,11,57,Bivalent
liṅg,11,54,Bivalent
hary,11,53,Bivalent
lolay,11,47,Bivalent
sraṃsay,11,43,Bivalent
īkṣay,11,41,Bivalent
cākaś,11,35,Bivalent
ṣū,11,35,Bivalent
vañc,11,34,Bivalent
tolay,11,32,Bivalent
bṛṃh,11,31,Bivalent
udyam,10,942,Bivalent
pre,10,818,Bivalent
prāś,10,583,Bivalent
upasaṃkram,10,476,Bivalent
īś,10,425,Bivalent
ucchri,10,360,Bivalent
īḍ,10,353,Bivalent
cchad,10,298,Bivalent
ākarṇay,10,236,Bivalent
udgrah,10,235,Bivalent
dīdī,10,200,Bivalent
udvah,10,189,Bivalent
abhyupe,10,183,Bivalent
secay,10,171,Bivalent
ṣṭambh,10,157,Bivalent
