root,valency,tokens,first_consonant,vowel,articulation_place,varga_column,bonding_cluster
barhay,7,16,b,a,pavarga,C3 (voiced unaspirate),
bhaṣ,7,16,bh,a,pavarga,C4 (voiced aspirate),
rūkṣay,7,14,r,ū,semivowel,non-varga (semivowel),
sajjay,7,14,s,a,sibilant,non-varga (sibilant),
āyay,7,14,—,ā,vowel-initial,non-varga (vowel-initial),
ṣkrāmay,7,14,ṣ,ā,sibilant,non-varga (sibilant),
anveṣay,7,13,—,a,vowel-initial,non-varga (vowel-initial),
bādhay,7,12,b,ā,pavarga,C3 (voiced unaspirate),
gāpay,7,12,g,ā,kavarga,C3 (voiced unaspirate),
gūhay,7,12,g,ū,kavarga,C3 (voiced unaspirate),
syanday,7,12,s,a,sibilant,non-varga (sibilant),
ṣyanday,7,12,ṣ,a,sibilant,non-varga (sibilant),
kṛś,7,11,k,ṛ,kavarga,C1 (unvoiced unaspirate),
pru,7,11,p,u,pavarga,C1 (unvoiced unaspirate),
pruth,7,11,p,u,pavarga,C1 (unvoiced unaspirate),
rambhay,7,11,r,a,semivowel,non-varga (semivowel),
yāmay,7,10,y,ā,semivowel,non-varga (semivowel),
kuṭ,7,9,k,u,kavarga,C1 (unvoiced unaspirate),
ṣkand,7,8,ṣ,a,sibilant,non-varga (sibilant),
unnam,6,333,—,u,vowel-initial,non-varga (vowel-initial),
mahīy,6,300,m,a,pavarga,C5 (nasal),
abhipre,6,186,—,a,vowel-initial,non-varga (vowel-initial),
ślāgh,6,186,ś,ā,sibilant,non-varga (sibilant),
aṅkay,6,183,—,a,vowel-initial,non-varga (vowel-initial),
pinv,6,182,p,i,pavarga,C1 (unvoiced unaspirate),
guṇay,6,160,g,u,kavarga,C3 (voiced unaspirate),
mṛḍ,6,131,m,ṛ,pavarga,C5 (nasal),
abhyudi,6,121,—,a,vowel-initial,non-varga (vowel-initial),
vinirdiś,6,118,v,i,semivowel,non-varga (semivowel),
ṣpad,6,115,ṣ,a,sibilant,non-varga (sibilant),
dās,6,99,d,ā,tavarga,C3 (voiced unaspirate),
ullikh,6,96,—,u,vowel-initial,non-varga (vowel-initial),
prāśay,6,95,p,ā,pavarga,C1 (unvoiced unaspirate),
uccar,6,95,—,u,vowel-initial,non-varga (vowel-initial),
prās,6,94,p,ā,pavarga,C1 (unvoiced unaspirate),
jū,6,88,j,ū,cavarga,C3 (voiced unaspirate),
ej,6,85,—,e,vowel-initial,non-varga (vowel-initial),
vinirgam,6,76,v,i,semivowel,non-varga (semivowel),
samupe,6,73,s,a,sibilant,non-varga (sibilant),
pratyudgam,6,72,p,a,pavarga,C1 (unvoiced unaspirate),
anvīkṣ,6,71,—,a,vowel-initial,non-varga (vowel-initial),
pratye,6,71,p,a,pavarga,C1 (unvoiced unaspirate),
mṛḍay,6,67,m,ṛ,pavarga,C5 (nasal),
pratīṣ,6,67,p,a,pavarga,C1 (unvoiced unaspirate),
spṛhay,6,66,s,ṛ,sibilant,non-varga (sibilant),
lul,6,65,l,u,semivowel,non-varga (semivowel),
udvap,6,64,—,u,vowel-initial,non-varga (vowel-initial),
dohay,6,62,d,o,tavarga,C3 (voiced unaspirate),
vāmay,6,61,v,ā,semivowel,non-varga (semivowel),
prā,6,60,p,ā,pavarga,C1 (unvoiced unaspirate),
abhiniṣkram,6,59,—,a,vowel-initial,non-varga (vowel-initial),
kath,6,57,k,a,kavarga,C1 (unvoiced unaspirate),
samuttejay,6,57,s,a,sibilant,non-varga (sibilant),
samavekṣ,6,56,s,a,sibilant,non-varga (sibilant),
stubh,6,56,s,u,sibilant,non-varga (sibilant),
ṣpīḍay,6,56,ṣ,ī,sibilant,non-varga (sibilant),
āviṣkṛ,6,55,—,ā,vowel-initial,non-varga (vowel-initial),
ścar,6,55,ś,a,sibilant,non-varga (sibilant),
iṣay,6,54,—,i,vowel-initial,non-varga (vowel-initial),
uc,6,53,—,u,vowel-initial,non-varga (vowel-initial),
vṛṣāy,6,52,v,ṛ,semivowel,non-varga (semivowel),
cihnay,6,50,c,i,cavarga,C1 (unvoiced unaspirate),
dhūrv,6,50,dh,ū,tavarga,C4 (voiced aspirate),
proh,6,50,p,o,pavarga,C1 (unvoiced unaspirate),
udbhid,6,49,—,u,vowel-initial,non-varga (vowel-initial),
viparyas,6,49,v,i,semivowel,non-varga (semivowel),
samudīray,6,48,s,a,sibilant,non-varga (sibilant),
upasaṃpad,6,48,—,u,vowel-initial,non-varga (vowel-initial),
siṣās,6,46,s,i,sibilant,non-varga (sibilant),
sthagay,6,46,s,a,sibilant,non-varga (sibilant),
viniṣkram,6,45,v,i,semivowel,non-varga (semivowel),
ṛj,6,44,—,ṛ,vowel-initial,non-varga (vowel-initial),
purodhā,6,43,p,u,pavarga,C1 (unvoiced unaspirate),
ṣūday,6,43,ṣ,ū,sibilant,non-varga (sibilant),
t￞,6,41,t,?,tavarga,C1 (unvoiced unaspirate),
ghṛ,6,38,gh,ṛ,kavarga,C4 (voiced aspirate),
piś,6,37,p,i,pavarga,C1 (unvoiced unaspirate),
duvasy,6,36,d,u,tavarga,C3 (voiced unaspirate),
tuj,6,36,t,u,tavarga,C1 (unvoiced unaspirate),
unnamay,6,36,—,u,vowel-initial,non-varga (vowel-initial),
abhinirvartay,6,35,—,a,vowel-initial,non-varga (vowel-initial),
arhay,6,35,—,a,vowel-initial,non-varga (vowel-initial),
nartay,6,35,n,a,tavarga,C5 (nasal),
sukhay,6,34,s,u,sibilant,non-varga (sibilant),
udūh,6,33,—,u,vowel-initial,non-varga (vowel-initial),
mārgay,6,31,m,ā,pavarga,C5 (nasal),
marmṛj,6,30,m,a,pavarga,C5 (nasal),
prativyūh,6,30,p,a,pavarga,C1 (unvoiced unaspirate),
ullaṅghay,6,30,—,u,vowel-initial,non-varga (vowel-initial),
kṣu,6,28,k,u,kavarga,C1 (unvoiced unaspirate),
luṭh,6,28,l,u,semivowel,non-varga (semivowel),
bhas,6,27,bh,a,pavarga,C4 (voiced aspirate),
caṅkram,6,27,c,a,cavarga,C1 (unvoiced unaspirate),
kheday,6,27,kh,e,kavarga,C2 (unvoiced aspirate),
ribh,6,27,r,i,semivowel,non-varga (semivowel),
udañc,6,27,—,u,vowel-initial,non-varga (vowel-initial),
uddru,6,27,—,u,vowel-initial,non-varga (vowel-initial),
bhramay,6,26,bh,a,pavarga,C4 (voiced aspirate),
ṇū,6,26,ṇ,ū,ṭavarga,C5 (nasal),
ghrāpay,6,25,gh,ā,kavarga,C4 (voiced aspirate),
varvṛt,6,25,v,a,semivowel,non-varga (semivowel),
citay,6,24,c,i,cavarga,C1 (unvoiced unaspirate),
pratyudi,6,24,p,a,pavarga,C1 (unvoiced unaspirate),
vyave,6,24,v,a,semivowel,non-varga (semivowel),
yopay,6,24,y,o,semivowel,non-varga (semivowel),
abhiniryā,6,23,—,a,vowel-initial,non-varga (vowel-initial),
cchā,6,23,c,ā,cavarga,C1 (unvoiced unaspirate),
sap,6,23,s,a,sibilant,non-varga (sibilant),
udās,6,21,—,u,vowel-initial,non-varga (vowel-initial),
ṇah,6,20,ṇ,a,ṭavarga,C5 (nasal),
ṣkambh,6,20,ṣ,a,sibilant,non-varga (sibilant),
ṣkṛ,6,20,ṣ,ṛ,sibilant,non-varga (sibilant),
coray,6,19,c,o,cavarga,C1 (unvoiced unaspirate),
samudvah,6,19,s,a,sibilant,non-varga (sibilant),
śaṃsay,6,18,ś,a,sibilant,non-varga (sibilant),
bībhats,6,17,b,ī,pavarga,C3 (voiced unaspirate),
eṣay,6,17,—,e,vowel-initial,non-varga (vowel-initial),
hrāsay,6,17,h,ā,glottal,non-varga (glottal),
kṣap,6,17,k,a,kavarga,C1 (unvoiced unaspirate),
rundhay,6,17,r,u,semivowel,non-varga (semivowel),
ṣīv,6,17,ṣ,ī,sibilant,non-varga (sibilant),
jāgaray,6,16,j,ā,cavarga,C3 (voiced unaspirate),
kṣamay,6,16,k,a,kavarga,C1 (unvoiced unaspirate),
upāv,6,16,—,u,vowel-initial,non-varga (vowel-initial),
śabdāpay,6,16,ś,a,sibilant,non-varga (sibilant),
jigamiṣ,6,15,j,i,cavarga,C3 (voiced unaspirate),
sphālay,6,15,s,ā,sibilant,non-varga (sibilant),
tānay,6,15,t,ā,tavarga,C1 (unvoiced unaspirate),
anvas,6,14,—,a,vowel-initial,non-varga (vowel-initial),
kranday,6,14,k,a,kavarga,C1 (unvoiced unaspirate),
kṛp,6,14,k,ṛ,kavarga,C1 (unvoiced unaspirate),
luñc,6,14,l,u,semivowel,non-varga (semivowel),
si,6,14,s,i,sibilant,non-varga (sibilant),
veṣay,6,14,v,e,semivowel,non-varga (semivowel),
vāvad,6,14,v,ā,semivowel,non-varga (semivowel),
yāsay,6,14,y,ā,semivowel,non-varga (semivowel),
abhyavekṣ,6,13,—,a,vowel-initial,non-varga (vowel-initial),
atisaṃdhā,6,13,—,a,vowel-initial,non-varga (vowel-initial),
dhukṣ,6,13,dh,u,tavarga,C4 (voiced aspirate),
didhiṣ,6,13,d,i,tavarga,C3 (voiced unaspirate),
manth,6,13,m,a,pavarga,C5 (nasal),
jūrv,6,12,j,ū,cavarga,C3 (voiced unaspirate),
bobhav,6,11,b,o,pavarga,C3 (voiced unaspirate),
karṇay,6,11,k,a,kavarga,C1 (unvoiced unaspirate),
udan,6,11,—,u,vowel-initial,non-varga (vowel-initial),
udvāhay,6,11,—,u,vowel-initial,non-varga (vowel-initial),
udyojay,6,11,—,u,vowel-initial,non-varga (vowel-initial),
ṛd,6,11,—,ṛ,vowel-initial,non-varga (vowel-initial),
sūtray,6,10,s,ū,sibilant,non-varga (sibilant),
śrathay,6,10,ś,a,sibilant,non-varga (sibilant),
dediś,6,9,d,e,tavarga,C3 (voiced unaspirate),
pan,6,9,p,a,pavarga,C1 (unvoiced unaspirate),
unmīlay,6,9,—,u,vowel-initial,non-varga (vowel-initial),
śrāmay,6,9,ś,ā,sibilant,non-varga (sibilant),
koṭay,6,8,k,o,kavarga,C1 (unvoiced unaspirate),
ruruts,6,8,r,u,semivowel,non-varga (semivowel),
rāmay,6,8,r,ā,semivowel,non-varga (semivowel),
sāhay,6,8,s,ā,sibilant,non-varga (sibilant),
smaray,6,6,s,a,sibilant,non-varga (sibilant),
ah,5,9590,—,a,vowel-initial,non-varga (vowel-initial),16
anuprāp,5,372,—,a,vowel-initial,non-varga (vowel-initial),
vinyas,5,300,v,i,semivowel,non-varga (semivowel),
udvij,5,270,—,u,vowel-initial,non-varga (vowel-initial),
udbhū,5,236,—,u,vowel-initial,non-varga (vowel-initial),
vyatī,5,143,v,a,semivowel,non-varga (semivowel),
samudbhū,5,135,s,a,sibilant,non-varga (sibilant),
samave,5,127,s,a,sibilant,non-varga (sibilant),
miṣ,5,111,m,i,pavarga,C5 (nasal),
śrambh,5,110,ś,a,sibilant,non-varga (sibilant),
dṛp,5,107,d,ṛ,tavarga,C3 (voiced unaspirate),
ruṣ,5,103,r,u,semivowel,non-varga (semivowel),
upasaṃgrah,5,92,—,u,vowel-initial,non-varga (vowel-initial),
āśay,5,88,—,ā,vowel-initial,non-varga (vowel-initial),
abhivyañj,5,82,—,a,vowel-initial,non-varga (vowel-initial),
vyape,5,82,v,a,semivowel,non-varga (semivowel),
ṣpiṣ,5,82,ṣ,i,sibilant,non-varga (sibilant),
ṣṭap,5,81,ṣ,a,sibilant,non-varga (sibilant),
paryūh,5,75,p,a,pavarga,C1 (unvoiced unaspirate),
avokṣ,5,73,—,a,vowel-initial,non-varga (vowel-initial),
ñc,5,71,ñ,?,cavarga,C5 (nasal),
adhyūh,5,70,—,a,vowel-initial,non-varga (vowel-initial),
unmath,5,69,—,u,vowel-initial,non-varga (vowel-initial),
prāduṣkṛ,5,65,p,ā,pavarga,C1 (unvoiced unaspirate),
pṛtany,5,65,p,ṛ,pavarga,C1 (unvoiced unaspirate),
val,5,64,v,a,semivowel,non-varga (semivowel),
ucchvas,5,63,—,u,vowel-initial,non-varga (vowel-initial),
ṇad,5,60,ṇ,a,ṭavarga,C5 (nasal),
unmīl,5,59,—,u,vowel-initial,non-varga (vowel-initial),
udgṛ,5,57,—,u,vowel-initial,non-varga (vowel-initial),
upasaṃdhā,5,56,—,u,vowel-initial,non-varga (vowel-initial),
bharjay,5,53,bh,a,pavarga,C4 (voiced aspirate),
lelih,5,52,l,e,semivowel,non-varga (semivowel),
uruṣy,5,51,—,u,vowel-initial,non-varga (vowel-initial),
dhāmay,5,47,dh,ā,tavarga,C4 (voiced aspirate),
vakṣ,5,47,v,a,semivowel,non-varga (semivowel),
dal,5,46,d,a,tavarga,C3 (voiced unaspirate),
parisaṃkhyā,5,46,p,a,pavarga,C1 (unvoiced unaspirate),
ścāray,5,46,ś,ā,sibilant,non-varga (sibilant),
nonāv,5,43,n,o,tavarga,C5 (nasal),
anunirvap,5,42,—,a,vowel-initial,non-varga (vowel-initial),
jijiñās,5,41,j,i,cavarga,C3 (voiced unaspirate),
rej,5,40,r,e,semivowel,non-varga (semivowel),
yuyuts,5,39,y,u,semivowel,non-varga (semivowel),
day,5,38,d,a,tavarga,C3 (voiced unaspirate),
antarbhū,5,36,—,a,vowel-initial,non-varga (vowel-initial),
nānad,5,36,n,ā,tavarga,C5 (nasal),
prokṣay,5,36,p,o,pavarga,C1 (unvoiced unaspirate),
añcay,5,34,—,a,vowel-initial,non-varga (vowel-initial),
dhvan,5,34,dh,a,tavarga,C4 (voiced aspirate),
upapre,5,32,—,u,vowel-initial,non-varga (vowel-initial),
raṇ,5,30,r,a,semivowel,non-varga (semivowel),
abhyasūy,5,29,—,a,vowel-initial,non-varga (vowel-initial),
anusaṃtan,5,29,—,a,vowel-initial,non-varga (vowel-initial),
damay,5,29,d,a,tavarga,C3 (voiced unaspirate),
hīḍ,5,29,h,ī,glottal,non-varga (glottal),
nyūṅkhay,5,29,n,ū,tavarga,C5 (nasal),
truṭ,5,29,t,u,tavarga,C1 (unvoiced unaspirate),
hrī,5,28,h,ī,glottal,non-varga (glottal),
parye,5,28,p,a,pavarga,C1 (unvoiced unaspirate),
mith,5,27,m,i,pavarga,C5 (nasal),
preps,5,26,p,e,pavarga,C1 (unvoiced unaspirate),
abhyunnī,5,25,—,a,vowel-initial,non-varga (vowel-initial),
utprekṣ,5,24,—,u,vowel-initial,non-varga (vowel-initial),
viniṣpat,5,23,v,i,semivowel,non-varga (semivowel),
chand,5,22,ch,a,cavarga,C2 (unvoiced aspirate),
dhukṣay,5,22,dh,u,tavarga,C4 (voiced aspirate),
carkar,5,21,c,a,cavarga,C1 (unvoiced unaspirate),
ninīṣ,5,21,n,i,tavarga,C5 (nasal),
samupekṣ,5,21,s,a,sibilant,non-varga (sibilant),
śāpay,5,21,ś,ā,sibilant,non-varga (sibilant),
abhisaṃśri,5,20,—,a,vowel-initial,non-varga (vowel-initial),
anupre,5,20,—,a,vowel-initial,non-varga (vowel-initial),
joṣay,5,20,j,o,cavarga,C3 (voiced unaspirate),
veviṣ,5,20,v,e,semivowel,non-varga (semivowel),
vyudas,5,20,v,u,semivowel,non-varga (semivowel),
anuvīkṣ,5,19,—,a,vowel-initial,non-varga (vowel-initial),
anve,5,19,—,a,vowel-initial,non-varga (vowel-initial),
abhinirdiś,5,18,—,a,vowel-initial,non-varga (vowel-initial),
tejay,5,18,t,e,tavarga,C1 (unvoiced unaspirate),
uccal,5,18,—,u,vowel-initial,non-varga (vowel-initial),
pravāh,5,17,p,a,pavarga,C1 (unvoiced unaspirate),
samunnī,5,17,s,a,sibilant,non-varga (sibilant),
unmāday,5,17,—,u,vowel-initial,non-varga (vowel-initial),
iṅgay,5,16,—,i,vowel-initial,non-varga (vowel-initial),
sevay,5,16,s,e,sibilant,non-varga (sibilant),
tur,5,16,t,u,tavarga,C1 (unvoiced unaspirate),
choray,5,15,ch,o,cavarga,C2 (unvoiced aspirate),
maday,5,15,m,a,pavarga,C5 (nasal),
pruṣ,5,15,p,u,pavarga,C1 (unvoiced unaspirate),
samanviṣ,5,15,s,a,sibilant,non-varga (sibilant),
uccāṭay,5,15,—,u,vowel-initial,non-varga (vowel-initial),
uddīp,5,15,—,u,vowel-initial,non-varga (vowel-initial),
ṣpalāy,5,15,ṣ,a,sibilant,non-varga (sibilant),
calay,5,14,c,a,cavarga,C1 (unvoiced unaspirate),
tirobhū,5,14,t,i,tavarga,C1 (unvoiced unaspirate),
vyaṃsay,5,14,v,a,semivowel,non-varga (semivowel),
abhisaṃgam,5,13,—,a,vowel-initial,non-varga (vowel-initial),
abhisaṃpāday,5,13,—,a,vowel-initial,non-varga (vowel-initial),
anūde,5,13,—,a,vowel-initial,non-varga (vowel-initial),
avekṣay,5,13,—,a,vowel-initial,non-varga (vowel-initial),
karikṛ,5,13,k,a,kavarga,C1 (unvoiced unaspirate),
raṇay,5,13,r,a,semivowel,non-varga (semivowel),
stabhāy,5,13,s,a,sibilant,non-varga (sibilant),
sūrkṣ,5,13,s,ū,sibilant,non-varga (sibilant),
dhvṛ,5,12,dh,ṛ,tavarga,C4 (voiced aspirate),
kṣā,5,12,k,ā,kavarga,C1 (unvoiced unaspirate),
sridh,5,12,s,i,sibilant,non-varga (sibilant),
āsay,5,12,—,ā,vowel-initial,non-varga (vowel-initial),
ūhay,5,12,—,ū,vowel-initial,non-varga (vowel-initial),
bharts,5,11,bh,a,pavarga,C4 (voiced aspirate),
edhay,5,11,—,e,vowel-initial,non-varga (vowel-initial),
kṝ,5,11,k,ṝ,kavarga,C1 (unvoiced unaspirate),
pūy,5,11,p,ū,pavarga,C1 (unvoiced unaspirate),
rap,5,11,r,a,semivowel,non-varga (semivowel),
grāsay,5,10,g,ā,kavarga,C3 (voiced unaspirate),
jas,5,10,j,a,cavarga,C3 (voiced unaspirate),
jigāṃs,5,10,j,i,cavarga,C3 (voiced unaspirate),
luṇṭh,5,10,l,u,semivowel,non-varga (semivowel),
mumukṣ,5,10,m,u,pavarga,C5 (nasal),
yoyu,5,10,y,o,semivowel,non-varga (semivowel),
ḍhauk,5,10,ḍh,au,ṭavarga,C4 (voiced aspirate),
tarṣay,5,9,t,a,tavarga,C1 (unvoiced unaspirate),
tsar,5,9,t,a,tavarga,C1 (unvoiced unaspirate),
ukṣay,5,9,—,u,vowel-initial,non-varga (vowel-initial),
vedh,5,9,v,e,semivowel,non-varga (semivowel),
vāśay,5,9,v,ā,semivowel,non-varga (semivowel),
dambhay,5,8,d,a,tavarga,C3 (voiced unaspirate),
sampratīkṣ,5,8,s,a,sibilant,non-varga (sibilant),
śāsay,5,8,ś,ā,sibilant,non-varga (sibilant),
ḍhaukay,5,8,ḍh,au,ṭavarga,C4 (voiced aspirate),
ṣkṛt,5,8,ṣ,ṛ,sibilant,non-varga (sibilant),
kūlay,5,7,k,ū,kavarga,C1 (unvoiced unaspirate),
kṛpay,5,7,k,ṛ,kavarga,C1 (unvoiced unaspirate),
psā,5,7,p,ā,pavarga,C1 (unvoiced unaspirate),
ghaṭṭ,5,6,gh,a,kavarga,C4 (voiced aspirate),
hrāday,5,6,h,ā,glottal,non-varga (glottal),
manāy,5,6,m,a,pavarga,C5 (nasal),
ujjīvay,5,6,—,u,vowel-initial,non-varga (vowel-initial),
vejay,5,6,v,e,semivowel,non-varga (semivowel),
akṣ,5,5,—,a,vowel-initial,non-varga (vowel-initial),
chad,4,368,ch,a,cavarga,C2 (unvoiced aspirate),
unmad,4,278,—,u,vowel-initial,non-varga (vowel-initial),
samudyam,4,125,s,a,sibilant,non-varga (sibilant),
samuddiś,4,116,s,a,sibilant,non-varga (sibilant),
unmā,4,109,—,u,vowel-initial,non-varga (vowel-initial),
abhīps,4,106,—,a,vowel-initial,non-varga (vowel-initial),
lal,4,102,l,a,semivowel,non-varga (semivowel),
samudi,4,101,s,a,sibilant,non-varga (sibilant),
kṣudh,4,100,k,u,kavarga,C1 (unvoiced unaspirate),
kvath,4,99,k,a,kavarga,C1 (unvoiced unaspirate),
abhiprekṣ,4,89,—,a,vowel-initial,non-varga (vowel-initial),
andhay,4,81,—,a,vowel-initial,non-varga (vowel-initial),
parīps,4,71,p,a,pavarga,C1 (unvoiced unaspirate),
bahiṣkṛ,4,65,b,a,pavarga,C3 (voiced unaspirate),
stanay,4,65,s,a,sibilant,non-varga (sibilant),
kanikrad,4,61,k,a,kavarga,C1 (unvoiced unaspirate),
paryukṣ,4,61,p,a,pavarga,C1 (unvoiced unaspirate),
avān,4,60,—,a,vowel-initial,non-varga (vowel-initial),
aṭ,4,60,—,a,vowel-initial,non-varga (vowel-initial),
udvṛt,4,58,—,u,vowel-initial,non-varga (vowel-initial),
ṇij,4,57,ṇ,i,ṭavarga,C5 (nasal),
udbhram,4,56,—,u,vowel-initial,non-varga (vowel-initial),
prāv,4,54,p,ā,pavarga,C1 (unvoiced unaspirate),
nāth,4,53,n,ā,tavarga,C5 (nasal),
upāś,4,53,—,u,vowel-initial,non-varga (vowel-initial),
rih,4,50,r,i,semivowel,non-varga (semivowel),
rah,4,49,r,a,semivowel,non-varga (semivowel),
ullas,4,46,—,u,vowel-initial,non-varga (vowel-initial),
charday,4,44,ch,a,cavarga,C2 (unvoiced aspirate),
prakaṭay,4,44,p,a,pavarga,C1 (unvoiced unaspirate),
samudīkṣ,4,44,s,a,sibilant,non-varga (sibilant),
upasaṃgam,4,41,—,u,vowel-initial,non-varga (vowel-initial),
viniryā,4,41,v,i,semivowel,non-varga (semivowel),
vyatyas,4,41,v,a,semivowel,non-varga (semivowel),
upanyas,4,40,—,u,vowel-initial,non-varga (vowel-initial),
parinirvā,4,39,p,a,pavarga,C1 (unvoiced unaspirate),
udvejay,4,39,—,u,vowel-initial,non-varga (vowel-initial),
hval,4,38,h,a,glottal,non-varga (glottal),
inv,4,38,—,i,vowel-initial,non-varga (vowel-initial),
udvīkṣ,4,38,—,u,vowel-initial,non-varga (vowel-initial),
srambh,4,37,s,a,sibilant,non-varga (sibilant),
nyañc,4,35,n,a,tavarga,C5 (nasal),
didṛkṣ,4,34,d,i,tavarga,C3 (voiced unaspirate),
upasame,4,34,—,u,vowel-initial,non-varga (vowel-initial),
daśasy,4,33,d,a,tavarga,C3 (voiced unaspirate),
udvam,4,32,—,u,vowel-initial,non-varga (vowel-initial),
cāmay,4,31,c,ā,cavarga,C1 (unvoiced unaspirate),
dips,4,31,d,i,tavarga,C3 (voiced unaspirate),
abhinirmā,4,30,—,a,vowel-initial,non-varga (vowel-initial),
samuccāray,4,30,s,a,sibilant,non-varga (sibilant),
kvaṇ,4,29,k,a,kavarga,C1 (unvoiced unaspirate),
anuparī,4,28,—,a,vowel-initial,non-varga (vowel-initial),
jambhay,4,28,j,a,cavarga,C3 (voiced unaspirate),
jājval,4,28,j,ā,cavarga,C3 (voiced unaspirate),
abhīndh,4,27,—,a,vowel-initial,non-varga (vowel-initial),
dhūmāy,4,27,dh,ū,tavarga,C4 (voiced aspirate),
iyakṣ,4,27,—,i,vowel-initial,non-varga (vowel-initial),
jāpay,4,27,j,ā,cavarga,C3 (voiced unaspirate),
adhīṣ,4,26,—,a,vowel-initial,non-varga (vowel-initial),
kocay,4,26,k,o,kavarga,C1 (unvoiced unaspirate),
mikṣ,4,26,m,i,pavarga,C5 (nasal),
mūtray,4,26,m,ū,pavarga,C5 (nasal),
uddīpay,4,24,—,u,vowel-initial,non-varga (vowel-initial),
vepay,4,24,v,e,semivowel,non-varga (semivowel),
dhamay,4,23,dh,a,tavarga,C4 (voiced aspirate),
pluṣ,4,23,p,u,pavarga,C1 (unvoiced unaspirate),
sas,4,23,s,a,sibilant,non-varga (sibilant),
anuprāṇ,4,22,—,a,vowel-initial,non-varga (vowel-initial),
paryave,4,22,p,a,pavarga,C1 (unvoiced unaspirate),
ṣṭambhay,4,22,ṣ,a,sibilant,non-varga (sibilant),
abhiprāṇ,4,21,—,a,vowel-initial,non-varga (vowel-initial),
śyā,4,21,ś,ā,sibilant,non-varga (sibilant),
cakās,4,20,c,a,cavarga,C1 (unvoiced unaspirate),
ceṣṭay,4,20,c,e,cavarga,C1 (unvoiced unaspirate),
protsāhay,4,20,p,o,pavarga,C1 (unvoiced unaspirate),
skambh,4,20,s,a,sibilant,non-varga (sibilant),
stan,4,20,s,a,sibilant,non-varga (sibilant),
aśanāy,4,19,—,a,vowel-initial,non-varga (vowel-initial),
kṣamāpay,4,19,k,a,kavarga,C1 (unvoiced unaspirate),
śad,4,19,ś,a,sibilant,non-varga (sibilant),
prer,4,18,p,e,pavarga,C1 (unvoiced unaspirate),
udbhṛ,4,18,—,u,vowel-initial,non-varga (vowel-initial),
vīray,4,18,v,ī,semivowel,non-varga (semivowel),
ścut,4,18,ś,u,sibilant,non-varga (sibilant),
adhyas,4,17,—,a,vowel-initial,non-varga (vowel-initial),
davidyut,4,17,d,a,tavarga,C3 (voiced unaspirate),
nyañj,4,17,n,a,tavarga,C5 (nasal),
tviṣ,4,17,t,i,tavarga,C1 (unvoiced unaspirate),
udyā,4,17,—,u,vowel-initial,non-varga (vowel-initial),
upaparīkṣ,4,17,—,u,vowel-initial,non-varga (vowel-initial),
vipare,4,17,v,i,semivowel,non-varga (semivowel),
abhinirhṛ,4,16,—,a,vowel-initial,non-varga (vowel-initial),
chalay,4,16,ch,a,cavarga,C2 (unvoiced aspirate),
samucci,4,16,s,a,sibilant,non-varga (sibilant),
spṛs,4,16,s,ṛ,sibilant,non-varga (sibilant),
vinirdah,4,16,v,i,semivowel,non-varga (semivowel),
anvabhyave,4,15,—,a,vowel-initial,non-varga (vowel-initial),
dhe,4,15,dh,e,tavarga,C4 (voiced aspirate),
heṭhay,4,15,h,e,glottal,non-varga (glottal),
tūrv,4,15,t,ū,tavarga,C1 (unvoiced unaspirate),
upapreṣ,4,15,—,u,vowel-initial,non-varga (vowel-initial),
yiyās,4,15,y,i,semivowel,non-varga (semivowel),
anulomay,4,14,—,a,vowel-initial,non-varga (vowel-initial),
cātay,4,14,c,ā,cavarga,C1 (unvoiced unaspirate),
irajy,4,14,—,i,vowel-initial,non-varga (vowel-initial),
lelāy,4,14,l,e,semivowel,non-varga (semivowel),
palyay,4,14,p,a,pavarga,C1 (unvoiced unaspirate),
riṣaṇy,4,14,r,i,semivowel,non-varga (semivowel),
skabhāy,4,14,s,a,sibilant,non-varga (sibilant),
udvā,4,14,—,u,vowel-initial,non-varga (vowel-initial),
upasaṃnah,4,14,—,u,vowel-initial,non-varga (vowel-initial),
sagh,4,13,s,a,sibilant,non-varga (sibilant),
sūd,4,13,s,ū,sibilant,non-varga (sibilant),
udaj,4,13,—,u,vowel-initial,non-varga (vowel-initial),
unnāmay,4,13,—,u,vowel-initial,non-varga (vowel-initial),
vell,4,13,v,e,semivowel,non-varga (semivowel),
śiñj,4,13,ś,i,sibilant,non-varga (sibilant),
ṣṭubh,4,13,ṣ,u,sibilant,non-varga (sibilant),
atyaś,4,12,—,a,vowel-initial,non-varga (vowel-initial),
dṛṃhay,4,12,d,ṛ,tavarga,C3 (voiced unaspirate),
galbh,4,12,g,a,kavarga,C3 (voiced unaspirate),
rājay,4,12,r,ā,semivowel,non-varga (semivowel),
spaṣṭay,4,12,s,a,sibilant,non-varga (sibilant),
viprekṣ,4,12,v,i,semivowel,non-varga (semivowel),
īṅkhay,4,12,—,ī,vowel-initial,non-varga (vowel-initial),
jarbhur,4,11,j,a,cavarga,C3 (voiced unaspirate),
krodhay,4,11,k,o,kavarga,C1 (unvoiced unaspirate),
med,4,11,m,e,pavarga,C5 (nasal),
muṣāy,4,11,m,u,pavarga,C5 (nasal),
nas,4,11,n,a,tavarga,C5 (nasal),
raṃh,4,11,r,a,semivowel,non-varga (semivowel),
abhisame,4,10,—,a,vowel-initial,non-varga (vowel-initial),
abhisaṃyuj,4,10,—,a,vowel-initial,non-varga (vowel-initial),
